Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number
Albert Vallci,Centre-Back,"Jul 2, 1995 (28)","1,91m",right,"Aug 4, 2022","Jun 30, 2025",€1.00m,FC St. Gallen 1879,257
Jozo Stanic ,Centre-Back,"Apr 6, 1999 (25)","1,84m",right,"Sep 2, 2023","Jun 30, 2025",€700k,FC St. Gallen 1879,257
Abdoulaye Diaby,Centre-Back,"Jul 4, 2000 (23)","1,98m",right,"Jul 1, 2023","Jun 30, 2025",€700k,FC St. Gallen 1879,257
Justin Janitzek,Centre-Back,"Feb 10, 2004 (20)","1,92m",right,"Jul 1, 2023","Jun 30, 2024",€200k,FC St. Gallen 1879,257
Musah Nuhu,Centre-Back,"Jan 17, 1997 (27)","1,95m",right,"Jul 1, 2019","Jun 30, 2024",€100k,FC St. Gallen 1879,257
Isaac Schmidt,Left-Back,"Dec 7, 1999 (24)","1,72m",right,"Jul 1, 2021","Jun 30, 2026",€1.40m,FC St. Gallen 1879,257
Chima Okoroji,Left-Back,"Apr 19, 1997 (26)","1,78m",left,"Jul 22, 2023","Jun 30, 2025",€1.00m,FC St. Gallen 1879,257
Mattia Zanotti,Right-Back,"Jan 11, 2003 (21)","1,75m",right,"Jul 3, 2023","Jun 30, 2024",€3.00m  ,FC St. Gallen 1879,257
Patrick Sutter,Right-Back,"Jan 18, 1999 (25)","1,72m",right,"Jul 1, 2021","Jun 30, 2024",€300k,FC St. Gallen 1879,257
Jordi Quintillà,Defensive Midfield,"Oct 25, 1993 (30)","1,81m",left,"Jan 22, 2022","Jun 30, 2025",€1.00m  ,FC St. Gallen 1879,257
Betim Fazliji ,Defensive Midfield,"Apr 25, 1999 (24)","1,86m",right,"Jul 1, 2023","Jun 30, 2027",€700k,FC St. Gallen 1879,257
Corsin Konietzke,Defensive Midfield,"Jun 21, 2006 (17)","1,85m",right,,"Jun 30, 2024",€200k  ,FC St. Gallen 1879,257
Bastien Toma,Central Midfield,"Jun 24, 1999 (24)","1,74m",right,"Sep 7, 2023","Jun 30, 2025",€1.00m,FC St. Gallen 1879,257
Mihailo Stevanovic,Central Midfield,"Jan 4, 2002 (22)","1,86m",right,"Jul 1, 2023","Jun 30, 2025",€800k  ,FC St. Gallen 1879,257
Lukas Görtler ,Right Midfield,"Jun 15, 1994 (29)","1,86m",right,"Jul 8, 2019","Jun 30, 2026",€2.00m,FC St. Gallen 1879,257
Christian Witzig,Left Midfield,"Jan 9, 2001 (23)","1,78m",right,"Jul 1, 2021","Jun 30, 2027",€1.70m  ,FC St. Gallen 1879,257
Víctor Ruiz,Attacking Midfield,"Nov 2, 1993 (30)","1,73m",right,"Feb 14, 2024","Jun 30, 2024",€500k,FC St. Gallen 1879,257
Grégory Karlen,Attacking Midfield,"Jan 30, 1995 (29)","1,87m",right,"Aug 3, 2022","Jun 30, 2025",€200k,FC St. Gallen 1879,257
Richard van der Venne ,Attacking Midfield,"May 16, 1992 (31)","1,73m",left,"Jul 5, 2023","Jun 30, 2025",€100k  ,FC St. Gallen 1879,257
Felix Mambimbi ,Left Winger,"Jan 18, 2001 (23)","1,71m",right,"Sep 2, 2023","Jun 30, 2025",€500k  ,FC St. Gallen 1879,257
Julian Von Moos,Right Winger,"Apr 1, 2001 (23)","1,81m",left,"Jan 3, 2022","Jun 30, 2024",€1.80m,FC St. Gallen 1879,257
Chadrac Akolo,Right Winger,"Apr 1, 1995 (29)","1,72m",right,"Jul 3, 2022","Jun 30, 2024",€900k  ,FC St. Gallen 1879,257
Albin Krasniqi,Right Winger,"Apr 6, 2003 (21)","1,80m",right,,"Jun 30, 2024",€500k  ,FC St. Gallen 1879,257
Willem Geubbels,Centre-Forward,"Aug 16, 2001 (22)","1,85m",right,"Jan 23, 2023","Jun 30, 2025",€2.50m  ,FC St. Gallen 1879,257
Nikolaj Möller ,Centre-Forward,"Jul 20, 2002 (21)","1,94m",right,"Jul 1, 2023","Jun 30, 2027",€600k,FC St. Gallen 1879,257
Fabian Schubert,Centre-Forward,"Aug 29, 1994 (29)","1,94m",right,"Jul 1, 2021","Jun 30, 2024",€500k,FC St. Gallen 1879,257
Jovan Milosevic,Centre-Forward,"Jul 31, 2005 (18)","1,90m",right,"Feb 13, 2024","Jun 30, 2024",€500k,FC St. Gallen 1879,257
Yanick Brecher ,Goalkeeper,"May 25, 1993 (30)","1,96m",right,"Jul 1, 2011","Jun 30, 2027",€800k  ,FC Zürich,260
Zivko Kostadinovic,Goalkeeper,"Apr 10, 1992 (31)","1,96m",right,"Aug 3, 2020","Jun 30, 2025",€200k,FC Zürich,260
Alan Omerovic,Goalkeeper,"Jul 16, 2002 (21)","1,85m",right,"Jul 1, 2023","Jun 30, 2024",€100k,FC Zürich,260
Nikola Katic,Centre-Back,"Oct 10, 1996 (27)","1,94m",right,"Aug 31, 2022","Jun 30, 2026",€1.50m,FC Zürich,260
Lindrit Kamberi,Centre-Back,"Oct 7, 1999 (24)","1,83m",right,"Jul 1, 2018","Jun 30, 2028",€1.00m  ,FC Zürich,260
Silvan Wallner,Centre-Back,"Jan 15, 2002 (22)","1,85m",right,"Aug 3, 2020","Jun 30, 2025",€300k,FC Zürich,260
Fabio Daprelà,Centre-Back,"Feb 19, 1991 (33)","1,83m",left,"Jul 1, 2023","Jun 30, 2025",€200k,FC Zürich,260
Mirlind Kryeziu,Centre-Back,"Jan 26, 1997 (27)","1,96m",left,"Apr 11, 2017","Jun 30, 2025",€200k,FC Zürich,260
Marc Hornschuh,Centre-Back,"Mar 2, 1991 (33)","1,88m",right,"Jul 9, 2021","Jun 30, 2024",€100k,FC Zürich,260
Amadou Dante,Left-Back,"Oct 7, 2000 (23)","1,78m",left,"Feb 8, 2024","Jun 30, 2024",€2.00m,FC Zürich,260
Ramon Guzzo,Left-Back,"Jul 5, 2004 (19)","1,76m",left,"Jan 3, 2023","Jun 30, 2026",€200k,FC Zürich,260
Rodrigo Conceição,Right-Back,"Jan 2, 2000 (24)","1,75m",right,"Aug 17, 2023","Jun 30, 2027",€1.20m  ,FC Zürich,260
Selmin Hodza,Right-Back,"May 24, 2003 (20)","1,78m",right,"Sep 14, 2022","Jun 30, 2028",€300k,FC Zürich,260
Cheick Condé,Defensive Midfield,"Jul 26, 2000 (23)","1,85m",right,"Jul 1, 2022","Jun 30, 2027",€3.00m  ,FC Zürich,260
Ifeanyi Mathew,Central Midfield,"Jan 20, 1997 (27)","1,75m",right,"Feb 15, 2023","Jun 30, 2025",€1.50m,FC Zürich,260
Miguel Reichmuth,Central Midfield,"Oct 26, 2003 (20)","1,71m",right,"Sep 14, 2022","Jun 30, 2028",€100k,FC Zürich,260
Nikola Boranijasevic,Right Midfield,"May 19, 1992 (31)","1,82m",right,"Jul 1, 2021","Jun 30, 2024",€300k  ,FC Zürich,260
Adrián Guerrero,Left Midfield,"Jan 28, 1998 (26)","1,74m",left,"Jul 1, 2021","Jun 30, 2024",€1.30m  ,FC Zürich,260
Bledian Krasniqi,Attacking Midfield,"Jun 17, 2001 (22)","1,73m",right,"Jul 3, 2018","Jun 30, 2027",€1.00m  ,FC Zürich,260
Antonio Marchesano,Attacking Midfield,"Jan 18, 1991 (33)","1,68m",right,"Sep 2, 2015","Jun 30, 2024",€300k  ,FC Zürich,260
Nils Reichmuth,Attacking Midfield,"Feb 22, 2002 (22)","1,75m",right,"Jun 18, 2020","Jun 30, 2025",€300k,FC Zürich,260
Jonathan Okita,Left Winger,"Oct 5, 1996 (27)","1,81m",right,"Jul 1, 2022","Jun 30, 2025",€2.00m  ,FC Zürich,260
Armstrong Oko-Flex,Left Winger,"Mar 2, 2002 (22)","1,86m",right,"Aug 14, 2023","Jun 30, 2025",€500k,FC Zürich,260
Joseph Sabobo,Left Winger,"Dec 17, 2005 (18)","1,67m",left,"Jan 16, 2024","Jun 30, 2028",€200k  ,FC Zürich,260
Fabian Rohner,Right Winger,"Aug 17, 1998 (25)","1,78m",right,"Jan 5, 2017","Jun 30, 2025",€300k  ,FC Zürich,260
Daniel Afriyie,Second Striker,"Jun 26, 2001 (22)","1,65m",right,"Jan 3, 2023","Jun 30, 2026",€1.00m,FC Zürich,260
Junior Ligue,Centre-Forward,"Mar 21, 2005 (19)","1,80m",left,"Jan 3, 2023","Jun 30, 2028",€700k,FC Zürich,260
Labinot Bajrami,Centre-Forward,"Jun 4, 2005 (18)","1,87m",right,,"Jun 30, 2024",€400k,FC Zürich,260
Ivan Santini,Centre-Forward,"May 21, 1989 (34)","1,90m",right,"Jul 1, 2022","Jun 30, 2024",€100k,FC Zürich,260
Justin Hammel,Goalkeeper,"Dec 2, 2000 (23)","1,87m",right,"Jul 1, 2022","Jun 30, 2025",€1.00m  ,Grasshopper Club Zurich,504
Manuel Kuttin,Goalkeeper,"Dec 17, 1993 (30)","1,95m",right,"Jul 1, 2023",-,€200k,Grasshopper Club Zurich,504
Nicolas Glaus,Goalkeeper,"May 10, 2002 (21)","1,87m",right,"Jul 1, 2023",-,€100k,Grasshopper Club Zurich,504
Steven Deana,Goalkeeper,"Mar 4, 1990 (34)","1,90m",right,"Feb 15, 2024",-,€100k,Grasshopper Club Zurich,504
Ayumu Seko,Centre-Back,"Jun 7, 2000 (23)","1,85m",right,"Jan 18, 2022","Jun 30, 2025",€1.70m  ,Grasshopper Club Zurich,504
Kristers Tobers ,Centre-Back,"Dec 13, 2000 (23)","1,90m",right,"Jul 1, 2023","Jun 30, 2025",€800k  ,Grasshopper Club Zurich,504
Maksim Paskotsi,Centre-Back,"Jan 19, 2003 (21)","1,88m",right,"Sep 6, 2023","Jun 30, 2026",€500k  ,Grasshopper Club Zurich,504
Joshua Laws,Centre-Back,"Feb 26, 1998 (26)","1,85m",left,"Aug 15, 2023","Jun 30, 2025",€400k  ,Grasshopper Club Zurich,504
Elvir Zukaj,Centre-Back,"Jul 7, 2002 (21)","1,94m",right,,-,€100k  ,Grasshopper Club Zurich,504
Théo Ndicka Matam,Left-Back,"Apr 20, 2000 (23)","1,69m",left,"Aug 29, 2023","Jun 30, 2025",€500k,Grasshopper Club Zurich,504
Florian Hoxha,Left-Back,"Feb 22, 2001 (23)","1,77m",left,"Jul 1, 2021","Jun 30, 2024",€500k  ,Grasshopper Club Zurich,504
Michael Kempter ,Left-Back,"Jan 12, 1995 (29)","1,81m",left,"Jul 1, 2023","Jun 30, 2025",€300k,Grasshopper Club Zurich,504
Dirk Abels,Right-Back,"Jun 13, 1997 (26)","1,86m",right,"Jul 17, 2023","Jun 30, 2025",€600k,Grasshopper Club Zurich,504
Liam Bollati,Right-Back,"Nov 9, 2003 (20)","1,74m", ,"Jul 6, 2022","Jun 30, 2024",€300k  ,Grasshopper Club Zurich,504
Tim Meyer,Defensive Midfield,"Jul 8, 2004 (19)","1,83m",right,"Aug 24, 2023","Jun 30, 2025",€400k  ,Grasshopper Club Zurich,504
Amir Abrashi ,Defensive Midfield,"Mar 27, 1990 (34)","1,72m",right,"Jul 1, 2021","Jun 30, 2025",€200k,Grasshopper Club Zurich,504
Tsiy Ndenge,Central Midfield,"Jun 13, 1997 (26)","1,90m",left,"Jul 1, 2022","Jun 30, 2025",€1.50m,Grasshopper Club Zurich,504
Noah Blasucci,Central Midfield,"Jun 19, 1999 (24)","1,75m",right,,"Jun 30, 2024",€100k  ,Grasshopper Club Zurich,504
Filipe de Carvalho,Left Midfield,"Dec 1, 2003 (20)","1,76m",right,"Jan 24, 2021","Jun 30, 2025",€1.00m  ,Grasshopper Club Zurich,504
Robin Kalem,Left Midfield,"Jul 14, 2002 (21)","1,81m",right,"Jun 17, 2020","Jun 30, 2024",€200k,Grasshopper Club Zurich,504
Pascal Schürpf,Left Midfield,"Jul 15, 1989 (34)","1,90m",right,"Jul 1, 2023","Jun 30, 2024",€100k,Grasshopper Club Zurich,504
Dijon Kameri ,Attacking Midfield,"Apr 20, 2004 (19)","1,84m",right,"Feb 8, 2024","Jun 30, 2024",€3.00m,Grasshopper Club Zurich,504
Giotto Morandi,Attacking Midfield,"Mar 4, 1999 (25)","1,81m",left,"Jul 1, 2019","Jun 30, 2025",€800k,Grasshopper Club Zurich,504
Oliver Batista Meier,Attacking Midfield,"Feb 16, 2001 (23)","1,80m",right,"Feb 2, 2024","Jun 30, 2024",€700k,Grasshopper Club Zurich,504
Meritan Shabani ,Attacking Midfield,"Mar 15, 1999 (25)","1,85m",right,"Jul 9, 2022","Jun 30, 2024",€300k,Grasshopper Club Zurich,504
Awer Mabil ,Left Winger,"Sep 15, 1995 (28)","1,78m",right,"Aug 21, 2023","Jun 30, 2025",€1.30m,Grasshopper Club Zurich,504
Damian Nigg ,Left Winger,"Apr 12, 2005 (18)","1,78m",right,,"Jun 30, 2024",€200k  ,Grasshopper Club Zurich,504
Francis Momoh,Centre-Forward,"Mar 25, 2001 (23)","1,87m",right,"Aug 1, 2019","Jun 30, 2024",€900k,Grasshopper Club Zurich,504
Bradley Fink,Centre-Forward,"Apr 17, 2003 (20)","1,92m",left,"Jul 20, 2023","Jun 30, 2024",€700k  ,Grasshopper Club Zurich,504
Dorian Babunski,Centre-Forward,"Aug 29, 1996 (27)","1,86m",right,"Aug 28, 2023","Jun 30, 2025",€600k  ,Grasshopper Club Zurich,504
Asumah Abubakar,Centre-Forward,"May 10, 1997 (26)","1,83m",right,"Jan 29, 2024","Jun 30, 2025",€300k,Grasshopper Club Zurich,504
Paul Bernardoni,Goalkeeper,"Apr 18, 1997 (26)","1,93m",left,"Jan 21, 2024","Jun 30, 2024",€2.20m,Yverdon Sport FC,322
Kevin Martin,Goalkeeper,"Jun 13, 1995 (28)","1,80m",left,"Jul 1, 2018","Jun 30, 2024",€300k,Yverdon Sport FC,322
Mirco Mazzeo,Goalkeeper,"Dec 15, 1999 (24)","1,91m",right,"Jul 1, 2022","Jun 30, 2024",€100k,Yverdon Sport FC,322
Breston Malula,Centre-Back,"Oct 31, 2000 (23)","1,94m",right,"Aug 30, 2021","Jun 30, 2025",€500k,Yverdon Sport FC,322
Mohamed Tijani,Centre-Back,"Jul 10, 1997 (26)","1,90m",left,"Jul 17, 2023","Jun 30, 2024",€400k,Yverdon Sport FC,322
Dario Del Fabro,Centre-Back,"Mar 24, 1995 (29)","1,90m",right,"Jul 16, 2023","Jun 30, 2026",€400k,Yverdon Sport FC,322
Christian Marques,Centre-Back,"Jan 15, 2003 (21)","1,88m",right,"Sep 7, 2023","Jun 30, 2025",€300k,Yverdon Sport FC,322
Niklas Gunnarsson,Centre-Back,"Apr 27, 1991 (32)","1,88m",right,"Aug 15, 2023","Jun 30, 2025",€200k,Yverdon Sport FC,322
Dimitrije Kamenovic,Left-Back,"Jul 16, 2000 (23)","1,89m",left,"Feb 15, 2024","Jun 30, 2024",€500k,Yverdon Sport FC,322
William Le Pogam ,Left-Back,"Mar 3, 1993 (31)","1,83m",left,"Aug 3, 2020","Jun 30, 2025",€300k,Yverdon Sport FC,322
Anthony Sauthier ,Right-Back,"Feb 5, 1991 (33)","1,85m",right,"Jul 12, 2022","Jun 30, 2025",€200k,Yverdon Sport FC,322
Luca Jaquenoud ,Right-Back,"May 21, 2002 (21)","1,81m",right,"Jul 1, 2021","Jun 30, 2024",€100k,Yverdon Sport FC,322
Boris Céspedes,Defensive Midfield,"Jun 19, 1995 (28)","1,81m",right,"Jul 3, 2023","Jun 30, 2025",€600k  ,Yverdon Sport FC,322
Samuel Oum Gouet,Defensive Midfield,"Dec 14, 1997 (26)","1,85m",right,"Jul 26, 2023","Jun 30, 2025",€500k  ,Yverdon Sport FC,322
Néhemie Lusuena,Defensive Midfield,"Apr 29, 1998 (25)","1,75m",right,"Jul 1, 2016","Jun 30, 2024",€300k,Yverdon Sport FC,322
Vladan Vidakovic,Defensive Midfield,"Mar 14, 1999 (25)","1,93m",right,"Jan 22, 2024","Jun 30, 2026",€300k,Yverdon Sport FC,322
Liziero ,Central Midfield,"Feb 7, 1998 (26)","1,77m",left,"Sep 6, 2023","Jun 30, 2024",€1.50m  ,Yverdon Sport FC,322
Mathias Olesen,Central Midfield,"Mar 21, 2001 (23)","1,88m",both,"Jan 23, 2024","Jun 30, 2024",€1.20m,Yverdon Sport FC,322
Dominic Corness ,Central Midfield,"May 5, 2003 (20)","1,74m",right,"Jul 20, 2023","Jun 30, 2024",€500k  ,Yverdon Sport FC,322
Ricardo Alves,Central Midfield,"Dec 2, 2001 (22)","1,77m",left,"Jul 17, 2023","Jun 30, 2025",€300k  ,Yverdon Sport FC,322
Silva ,Central Midfield,"Sep 7, 1995 (28)","1,83m",right,"Jul 12, 2022","Jun 30, 2025",€300k,Yverdon Sport FC,322
Alan Rodriguez,Central Midfield,"Jul 12, 2002 (21)","1,78m",right,"Jul 1, 2022","Jun 30, 2024",€100k,Yverdon Sport FC,322
Magnus Grødem ,Attacking Midfield,"Aug 14, 1998 (25)","1,93m",right,"Jan 16, 2024","Jun 30, 2026",€1.20m,Yverdon Sport FC,322
Hugo Fargues,Attacking Midfield,"Apr 16, 1992 (31)","1,78m",left,"Jan 4, 2019","Jun 30, 2024",€100k,Yverdon Sport FC,322
Marley Aké,Left Winger,"Jan 5, 2001 (23)","1,78m",right,"Jan 18, 2024","Jun 30, 2024",€1.60m,Yverdon Sport FC,322
Mihael Klepac ,Left Winger,"Sep 19, 1997 (26)","1,84m",right,"Jul 18, 2023","Jun 30, 2025",€400k,Yverdon Sport FC,322
Yannick Cotter,Left Winger,"Jan 3, 2002 (22)","1,76m",left,"Aug 22, 2023","Jun 30, 2025",€100k,Yverdon Sport FC,322
Varol Tasar ,Right Winger,"Oct 4, 1996 (27)","1,74m",left,"Jul 19, 2023","Jun 30, 2024",€600k,Yverdon Sport FC,322
Mauro Rodrigues,Right Winger,"Apr 15, 2001 (22)","1,78m",right,"Jul 7, 2022","Jun 30, 2024",€400k,Yverdon Sport FC,322
Johan Kury ,Right Winger,"Oct 7, 2001 (22)","1,78m",right,"Jul 25, 2022","Jun 30, 2025",€100k,Yverdon Sport FC,322
Kevin Carlos,Centre-Forward,"Apr 10, 2001 (22)","1,86m",right,"Jan 3, 2024",-,€1.20m  ,Yverdon Sport FC,322
Aimen Mahious,Centre-Forward,"Sep 15, 1997 (26)","1,85m",right,"Aug 9, 2023","Jun 30, 2026",€1.00m  ,Yverdon Sport FC,322
Christopher Lungoyi,Centre-Forward,"Jul 4, 2000 (23)","1,82m",left,"Aug 11, 2023","Jun 30, 2024",€800k,Yverdon Sport FC,322
Evans Maurin ,Centre-Forward,"Mar 30, 2001 (23)","1,79m",left,"Feb 9, 2023",-,€400k,Yverdon Sport FC,322
Jérémy Vachoux,Goalkeeper,"Jul 7, 1994 (29)","1,83m",right,"Jul 26, 2023","Jun 15, 2025",€500k,FC Stade-Lausanne-Ouchy,5499
Dany Da Silva,Goalkeeper,"Mar 2, 1993 (31)","1,88m",right,"Sep 3, 2020","Jun 15, 2025",€300k,FC Stade-Lausanne-Ouchy,5499
Sahmkou Camara,Centre-Back,"Jun 10, 2003 (20)","1,93m",right,"Jul 1, 2023","Jun 15, 2027",€500k,FC Stade-Lausanne-Ouchy,5499
Lucas Pos,Centre-Back,"Feb 16, 1998 (26)","1,87m",right,"Jul 7, 2021","Jun 30, 2025",€400k,FC Stade-Lausanne-Ouchy,5499
Lavdrim Hajrulahu ,Centre-Back,"Mar 7, 1998 (26)","1,87m",right,"Jan 1, 2017","Jun 30, 2024",€400k,FC Stade-Lausanne-Ouchy,5499
Dylan Ouedraogo,Centre-Back,"Jul 22, 1998 (25)","1,85m",left,"Aug 8, 2023","Jun 15, 2025",€300k,FC Stade-Lausanne-Ouchy,5499
Rayan Kadima,Centre-Back,"Dec 15, 1997 (26)","1,87m",right,"Jul 1, 2021","Jun 15, 2025",€300k,FC Stade-Lausanne-Ouchy,5499
Linus Obexer ,Left-Back,"Jun 5, 1997 (26)","1,77m",left,"Jul 1, 2022","Jun 30, 2024",€300k  ,FC Stade-Lausanne-Ouchy,5499
Michael Heule,Left-Back,"Apr 27, 2001 (22)","1,72m",right,"Jul 14, 2023","Jun 15, 2025",€300k,FC Stade-Lausanne-Ouchy,5499
Marc Fred Tsoungui,Left-Back,"Jul 30, 2002 (21)","1,82m",left,"Jul 1, 2022","Jun 30, 2025",€200k,FC Stade-Lausanne-Ouchy,5499
Ibrahim Diakité ,Right-Back,"Oct 31, 2003 (20)","1,80m",right,"Feb 15, 2024","Jun 30, 2024",€900k  ,FC Stade-Lausanne-Ouchy,5499
Mohamed Abdallah,Right-Back,"Apr 11, 1999 (24)","1,67m",right,"Jul 3, 2021","Jun 30, 2024",€400k,FC Stade-Lausanne-Ouchy,5499
Lamine Gassama,Right-Back,"Oct 20, 1989 (34)","1,80m",right,"Jul 12, 2022","Jun 30, 2024",€100k,FC Stade-Lausanne-Ouchy,5499
Giovani Bamba,Defensive Midfield,"Jul 2, 1999 (24)","1,92m",right,"Aug 25, 2020","Jun 30, 2024",€400k,FC Stade-Lausanne-Ouchy,5499
Valon Hamdiu,Defensive Midfield,"Jun 10, 1998 (25)","1,87m",right,"Jul 1, 2023","Jun 15, 2025",€300k,FC Stade-Lausanne-Ouchy,5499
Romain Bayard,Defensive Midfield,"Oct 15, 1993 (30)","1,67m",right,"Jul 27, 2021","Jun 30, 2025",€200k,FC Stade-Lausanne-Ouchy,5499
Edmond Akichi,Defensive Midfield,"Apr 24, 1990 (33)","1,78m",right,"Jul 14, 2022","Jun 30, 2024",€200k,FC Stade-Lausanne-Ouchy,5499
Mischa Eberhard,Central Midfield,"Apr 11, 2002 (21)","1,73m",right,"Jul 1, 2023","Jun 15, 2025",€300k,FC Stade-Lausanne-Ouchy,5499
Elies Mahmoud,Right Midfield,"Feb 10, 2001 (23)","1,71m",right,"Jul 11, 2023","Jun 30, 2025",€800k,FC Stade-Lausanne-Ouchy,5499
Ismaël Gharbi,Attacking Midfield,"Apr 10, 2004 (19)","1,73m",right,"Sep 1, 2023","Jun 30, 2024",€7.50m  ,FC Stade-Lausanne-Ouchy,5499
Mergim Qarri,Attacking Midfield,"Jun 10, 1995 (28)","1,79m",right,"Aug 6, 2020","Jun 15, 2025",€300k,FC Stade-Lausanne-Ouchy,5499
Liridon Mulaj,Attacking Midfield,"Jan 4, 1999 (25)","1,75m",right,"Aug 19, 2022","Jun 30, 2024",€300k,FC Stade-Lausanne-Ouchy,5499
Alban Ajdini,Right Winger,"Jul 9, 1999 (24)","1,80m",right,"Jul 1, 2021","Jun 15, 2025",€1.50m  ,FC Stade-Lausanne-Ouchy,5499
Vitalie Damaşcan,Centre-Forward,"Jan 24, 1999 (25)","1,80m",right,"Jan 15, 2024","Jun 30, 2024",€500k  ,FC Stade-Lausanne-Ouchy,5499
Gabriel Kyeremateng,Centre-Forward,"Apr 28, 1999 (24)","1,83m",right,"Jan 5, 2024","Jun 30, 2024",€400k  ,FC Stade-Lausanne-Ouchy,5499
Charles Abi,Centre-Forward,"Apr 12, 2000 (23)","1,86m",left,"Feb 6, 2023",-,€300k  ,FC Stade-Lausanne-Ouchy,5499
Nathan Garcia ,Centre-Forward,"Nov 22, 1999 (24)","1,76m",left,"Jul 1, 2022","Jun 30, 2024",€300k,FC Stade-Lausanne-Ouchy,5499
Marvin Keller,Goalkeeper,"Jul 3, 2002 (21)","1,89m",right,"Sep 13, 2023","Jun 30, 2024",€1.50m  ,FC Winterthur,242
Markus Kuster,Goalkeeper,"Feb 22, 1994 (30)","1,95m",right,"Jan 1, 2023","Jun 30, 2025",€400k,FC Winterthur,242
Armin Abaz,Goalkeeper,"Mar 27, 2002 (22)","1,87m",right,"Jul 1, 2022","Jun 30, 2024",€100k,FC Winterthur,242
Basil Stillhart,Centre-Back,"Mar 24, 1994 (30)","1,77m",right,"Jul 1, 2023","Jun 30, 2026",€500k,FC Winterthur,242
Remo Arnold,Centre-Back,"Jan 17, 1997 (27)","1,90m",right,"Jan 1, 2020","Jun 30, 2026",€400k  ,FC Winterthur,242
Yannick Schmid,Centre-Back,"May 11, 1995 (28)","1,84m",right,"Jul 27, 2022","Jun 30, 2026",€300k,FC Winterthur,242
Loïc Lüthi,Centre-Back,"Sep 30, 2003 (20)","1,87m",right,"Jul 1, 2023","Jun 30, 2025",€100k,FC Winterthur,242
Granit Lekaj ,Centre-Back,"Feb 23, 1990 (34)","1,86m",right,"Jul 1, 2018","Jun 30, 2025",€100k,FC Winterthur,242
Souleymane Diaby,Left-Back,"Oct 8, 1999 (24)","1,73m",left,"Jul 3, 2021","Jun 30, 2025",€800k  ,FC Winterthur,242
Tobias Schättin ,Left-Back,"Jun 5, 1997 (26)","1,85m",left,"Jul 1, 2021","Jun 30, 2025",€300k,FC Winterthur,242
Adrian Gantenbein,Right-Back,"Apr 18, 2001 (22)","1,83m",right,"Aug 14, 2020","Jun 30, 2025",€800k  ,FC Winterthur,242
Silvan Sidler,Right-Back,"Jul 7, 1998 (25)","1,85m",right,"Jul 1, 2023","Jun 30, 2025",€400k,FC Winterthur,242
Michael Gonçalves,Right-Back,"Mar 10, 1995 (29)","1,74m",right,"Aug 26, 2020","Jun 30, 2024",€200k,FC Winterthur,242
Adrian Durrer,Defensive Midfield,"Jul 13, 2001 (22)","1,88m",right,"Feb 14, 2024","Jun 30, 2024",€200k,FC Winterthur,242
Thibault Corbaz,Defensive Midfield,"Jan 7, 1994 (30)","1,80m",right,"Jul 9, 2021","Jun 30, 2024",€100k,FC Winterthur,242
Alexandre Jankewitz ,Central Midfield,"Dec 25, 2001 (22)","1,85m",right,"Jul 1, 2023","Jun 30, 2024",€1.00m  ,FC Winterthur,242
Musa Araz ,Central Midfield,"Jan 17, 1994 (30)","1,73m",left,"Jul 17, 2023","Jun 30, 2025",€300k,FC Winterthur,242
Luca Zuffi ,Central Midfield,"Mar 27, 1990 (34)","1,82m",left,"Jul 1, 2023","Jun 30, 2025",€100k,FC Winterthur,242
Carmine Chiappetta,Left Midfield,"Mar 9, 2003 (21)","1,75m",right,"Jul 1, 2023",-,€200k,FC Winterthur,242
Matteo Di Giusto,Attacking Midfield,"Aug 18, 2000 (23)","1,68m",right,"Jul 1, 2022","Jun 30, 2026",€1.50m,FC Winterthur,242
Randy Schneider,Attacking Midfield,"Aug 27, 2001 (22)","1,70m",right,"Jul 1, 2023","Jun 30, 2026",€800k  ,FC Winterthur,242
Francisco Rodríguez ,Attacking Midfield,"Sep 14, 1995 (28)","1,77m",right,"Jul 1, 2022","Jun 30, 2024",€100k,FC Winterthur,242
Sayfallah Ltaief,Left Winger,"Apr 22, 2000 (23)","1,78m",right,"Jan 1, 2023","Jun 30, 2024",€1.50m  ,FC Winterthur,242
Boubacar Fofana,Left Winger,"Sep 7, 1998 (25)","1,82m",left,"Jan 7, 2024","Jun 30, 2026",€800k,FC Winterthur,242
Nishan Burkart,Left Winger,"Jan 31, 2000 (24)","1,74m",right,"Jul 1, 2023","Jun 30, 2026",€800k  ,FC Winterthur,242
Antoine Baroan,Centre-Forward,"Jun 24, 2000 (23)","1,88m",left,"Feb 2, 2024","Jun 30, 2027",€1.60m,FC Winterthur,242
Aldin Turkes,Centre-Forward,"Apr 22, 1996 (27)","1,93m",left,"Jul 1, 2023","Jun 30, 2025",€400k,FC Winterthur,242
Roman Buess ,Centre-Forward,"Sep 21, 1992 (31)","1,83m",left,"Jul 1, 2019","Jun 30, 2024",€100k  ,FC Winterthur,242
