Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number
Lukas Görtler ,Right Midfield,"Jun 15, 1994 (29)","1,86m",right,"Jul 8, 2019",,€2.00m,FC St. Gallen 1879,257
Christian Witzig,Left Midfield,"Jan 9, 2001 (22)","1,78m",right,"Jul 1, 2021",,€800k,FC St. Gallen 1879,257
Víctor Ruiz,Attacking Midfield,"Nov 2, 1993 (29)","1,73m",right,"Feb 14, 2024",,€700k,FC St. Gallen 1879,257
Randy Schneider,Attacking Midfield,"Aug 27, 2001 (21)","1,70m",right,"Jul 1, 2022",,€400k,FC St. Gallen 1879,257
Grégory Karlen,Attacking Midfield,"Jan 30, 1995 (28)","1,87m",right,"Aug 3, 2022",,€300k,FC St. Gallen 1879,257
Leonhard Münst,Attacking Midfield,"Jan 22, 2002 (21)","1,83m",right,"Jul 13, 2021",,€100k,FC St. Gallen 1879,257
Élie Youan,Left Winger,"Apr 7, 1999 (24)","1,83m",right,"Jul 1, 2021",,€1.00m,FC St. Gallen 1879,257
Julian Von Moos,Right Winger,"Apr 1, 2001 (22)","1,81m",left,"Jan 3, 2022",,€1.70m,FC St. Gallen 1879,257
Chadrac Akolo,Right Winger,"Apr 1, 1995 (28)","1,72m",right,"Jul 3, 2022",,€800k,FC St. Gallen 1879,257
Leon Dajaku,Second Striker,"Apr 12, 2001 (22)","1,80m",right,"Jan 26, 2023",,€800k,FC St. Gallen 1879,257
Willem Geubbels,Centre-Forward,"Aug 16, 2001 (21)","1,85m",right,"Jan 23, 2023",,€1.80m,FC St. Gallen 1879,257
Emmanuel Latte Lath,Centre-Forward,"Jan 1, 1999 (24)","1,76m",right,"Jul 2, 2022",,€1.50m,FC St. Gallen 1879,257
Jérémy Guillemenot,Centre-Forward,"Jan 6, 1998 (25)","1,84m",right,"Jan 30, 2019",,€1.30m,FC St. Gallen 1879,257
Alessio Besio,Centre-Forward,"Mar 18, 2004 (19)","1,86m", ,"Jul 1, 2021",,€800k,FC St. Gallen 1879,257
Fabian Schubert,Centre-Forward,"Aug 29, 1994 (28)","1,94m",right,"Jul 1, 2021",,€500k,FC St. Gallen 1879,257
Fabrizio Cavegn,Centre-Forward,"Aug 28, 2002 (20)","1,78m",right,, ,€250k,FC St. Gallen 1879,257
Noha Ndombasi,Centre-Forward,"Apr 28, 2001 (22)","1,74m",right,"Sep 21, 2022",,€100k,FC St. Gallen 1879,257
Yanick Brecher ,Goalkeeper,"May 25, 1993 (30)","1,96m",right,"Jul 1, 2011",,€800k,FC Zürich,260
Zivko Kostadinovic,Goalkeeper,"Apr 10, 1992 (31)","1,96m",right,"Aug 3, 2020",,€200k,FC Zürich,260
Gianni De Nitti,Goalkeeper,"Apr 9, 2003 (20)","1,86m",right,"Jul 1, 2021",,€100k,FC Zürich,260
Alan Omerovic,Goalkeeper,"Jul 16, 2002 (20)","1,85m",right,"Jul 1, 2023",,€25k,FC Zürich,260
Becir Omeragic,Centre-Back,"Jan 20, 2002 (21)","1,87m",right,"Jul 1, 2018",,€3.00m,FC Zürich,260
Fidan Aliti,Centre-Back,"Oct 3, 1993 (29)","1,86m",left,"Jul 1, 2021",,€1.30m,FC Zürich,260
Nikola Katic,Centre-Back,"Oct 10, 1996 (26)","1,94m",right,"Aug 31, 2022",,€900k,FC Zürich,260
Karol Mets,Centre-Back,"May 16, 1993 (30)","1,91m",left,"Jan 7, 2022",,€800k,FC Zürich,260
Lindrit Kamberi,Centre-Back,"Oct 7, 1999 (23)","1,83m",right,"Jul 1, 2018",,€700k,FC Zürich,260
Mirlind Kryeziu ,Centre-Back,"Jan 26, 1997 (26)","1,96m",left,"Apr 11, 2017",,€400k,FC Zürich,260
Marc Hornschuh,Centre-Back,"Mar 2, 1991 (32)","1,88m",right,"Jul 9, 2021",,€200k,FC Zürich,260
Ilan Sauter,Centre-Back,"Feb 6, 2001 (22)","1,86m",left,"Aug 1, 2018",,€100k,FC Zürich,260
Ramon Guzzo,Left-Back,"Jul 5, 2004 (18)","1,76m",left,"Jan 3, 2023",,€100k,FC Zürich,260
Selmin Hodza,Right-Back,"May 24, 2003 (20)","1,78m",right,"Sep 14, 2022",,€300k,FC Zürich,260
Cheick Condé,Defensive Midfield,"Jul 26, 2000 (22)","1,85m",right,"Jul 1, 2022",,€1.60m,FC Zürich,260
Ole Selnæs,Defensive Midfield,"Jul 7, 1994 (28)","1,87m",left,"Jul 1, 2022",,€1.20m,FC Zürich,260
Ifeanyi Mathew,Central Midfield,"Jan 20, 1997 (26)","1,75m",right,"Feb 15, 2023",,€800k,FC Zürich,260
Stephan Seiler,Central Midfield,"Sep 16, 2000 (22)","1,74m",right,"Jul 9, 2020",,€400k,FC Zürich,260
Blerim Dzemaili,Central Midfield,"Apr 12, 1986 (37)","1,80m",right,"Jan 1, 2021",,€100k,FC Zürich,260
Miguel Reichmuth,Central Midfield,"Oct 26, 2003 (19)","1,71m",right,"Sep 14, 2022",,€100k,FC Zürich,260
Nikola Boranijasevic ,Right Midfield,"May 19, 1992 (31)","1,82m",right,"Jul 1, 2021",,€700k,FC Zürich,260
Adrián Guerrero,Left Midfield,"Jan 28, 1998 (25)","1,74m",left,"Jul 1, 2021",,€1.70m,FC Zürich,260
Bledian Krasniqi,Attacking Midfield,"Jun 17, 2001 (22)","1,73m",right,"Jul 3, 2018",,€1.00m,FC Zürich,260
Antonio Marchesano,Attacking Midfield,"Jan 18, 1991 (32)","1,68m",right,"Sep 2, 2015",,€400k,FC Zürich,260
Jonathan Okita,Left Winger,"Oct 5, 1996 (26)","1,81m",right,"Jul 1, 2022",,€1.30m,FC Zürich,260
Donis Avdijaj,Left Winger,"Aug 25, 1996 (26)","1,73m",right,"Aug 1, 2022",,€800k,FC Zürich,260
Akaki Gogia,Left Winger,"Jan 18, 1992 (31)","1,78m",right,"Jul 28, 2021",,€300k,FC Zürich,260
Wilfried Gnonto,Right Winger,"Nov 5, 2003 (19)","1,70m",right,"Jul 1, 2020",,€18.00m,FC Zürich,260
Fabian Rohner ,Right Winger,"Aug 17, 1998 (24)","1,78m",right,"Jan 5, 2017",,€300k,FC Zürich,260
Daniel Afriyie,Second Striker,"Jun 26, 2001 (22)","1,65m",right,"Jan 3, 2023",,€300k,FC Zürich,260
Roko Simic,Centre-Forward,"Sep 10, 2003 (19)","1,90m",right,"Jan 5, 2023",,€5.00m,FC Zürich,260
Aiyegun Tosin,Centre-Forward,"Jun 26, 1998 (25)","1,79m",right,"Sep 2, 2019",,€3.20m,FC Zürich,260
Junior Ligue,Centre-Forward,"Mar 21, 2005 (18)","1,80m",left,"Jan 3, 2023",,€700k,FC Zürich,260
Bogdan Viunnyk ,Centre-Forward,"May 21, 2002 (21)","1,85m",both,"Aug 5, 2022",,€350k,FC Zürich,260
Ivan Santini,Centre-Forward,"May 21, 1989 (34)","1,90m",right,"Jul 1, 2022",,€200k,FC Zürich,260
Carson Buschman-Dormond,Centre-Forward,"Oct 27, 2002 (20)","1,88m",left,"Jul 1, 2021",,€50k,FC Zürich,260
André Moreira,Goalkeeper,"Dec 2, 1995 (27)","1,95m",right,"Jul 1, 2021",,€1.20m,Grasshopper Club Zurich,504
Justin Hammel,Goalkeeper,"Dec 2, 2000 (22)","1,87m",right,"Jul 1, 2022",,€500k,Grasshopper Club Zurich,504
Manuel Kuttin,Goalkeeper,"Dec 17, 1993 (29)","1,95m",right,"Jul 1, 2023",,€200k,Grasshopper Club Zurich,504
Levi Ntumba,Goalkeeper,"Jan 12, 2001 (22)","1,95m",left,"Jan 7, 2022",,€200k,Grasshopper Club Zurich,504
Laurent Seji,Goalkeeper,"Jun 22, 2004 (19)",-, ,, ,€10k,Grasshopper Club Zurich,504
Ayumu Seko,Centre-Back,"Jun 7, 2000 (23)","1,85m",right,"Jan 18, 2022",,€3.00m,Grasshopper Club Zurich,504
Tomás Ribeiro,Centre-Back,"Apr 30, 1999 (24)","1,85m",left,"Jan 27, 2022",,€1.50m,Grasshopper Club Zurich,504
Noah Loosli,Centre-Back,"Jan 23, 1997 (26)","1,86m",right,"Aug 17, 2021",,€800k,Grasshopper Club Zurich,504
Georg Margreitter,Centre-Back,"Nov 7, 1988 (34)","1,86m",right,"Jul 5, 2021",,€100k,Grasshopper Club Zurich,504
Dominik Schmid,Left-Back,"Mar 10, 1998 (25)","1,82m",left,"Aug 7, 2020",,€2.50m,Grasshopper Club Zurich,504
Lei Li,Left-Back,"May 30, 1992 (31)","1,82m",left,"Jan 5, 2022",,€250k,Grasshopper Club Zurich,504
Florian Hoxha,Left-Back,"Feb 22, 2001 (22)","1,77m",left,"Jul 1, 2021",,€100k,Grasshopper Club Zurich,504
Teruki Hara,Right-Back,"Jul 30, 1998 (24)","1,80m",right,"Jan 16, 2023",,€500k,Grasshopper Club Zurich,504
Nadjack,Right-Back,"Feb 6, 1994 (29)","1,84m",right,"Aug 29, 2020",,€200k,Grasshopper Club Zurich,504
Amir Abrashi ,Defensive Midfield,"Mar 27, 1990 (33)","1,72m",right,"Jul 1, 2021",,€200k,Grasshopper Club Zurich,504
Simone Stroscio,Defensive Midfield,"Aug 20, 2003 (19)","1,76m",right,"Mar 1, 2022",,€150k,Grasshopper Club Zurich,504
Hayao Kawabe,Central Midfield,"Sep 8, 1995 (27)","1,78m",right,"Jan 20, 2022",,€2.80m,Grasshopper Club Zurich,504
Tsiy Ndenge,Central Midfield,"Jun 13, 1997 (26)","1,90m",left,"Jul 1, 2022",,€800k,Grasshopper Club Zurich,504
Christián Herc,Central Midfield,"Sep 30, 1998 (24)","1,85m",right,"Jul 1, 2021",,€700k,Grasshopper Club Zurich,504
Noah Blasucci,Central Midfield,"Jun 19, 1999 (24)","1,75m",right,, ,€100k,Grasshopper Club Zurich,504
Samuel Marques,Central Midfield,"Feb 4, 2005 (18)","1,74m", ,, ,€50k,Grasshopper Club Zurich,504
Bendegúz Bolla,Right Midfield,"Nov 22, 1999 (23)","1,79m",right,"Jul 18, 2021",,€2.70m,Grasshopper Club Zurich,504
Filipe de Carvalho,Left Midfield,"Dec 1, 2003 (19)","1,76m",right,"Jan 24, 2021",,€500k,Grasshopper Club Zurich,504
Petar Pusic,Attacking Midfield,"Jan 25, 1999 (24)","1,71m",left,"Feb 1, 2017",,€900k,Grasshopper Club Zurich,504
Giotto Morandi,Attacking Midfield,"Mar 4, 1999 (24)","1,81m",left,"Jul 1, 2019",,€800k,Grasshopper Club Zurich,504
Dion Kacuri,Attacking Midfield,"Feb 11, 2004 (19)","1,88m",left,"Jan 12, 2022",,€600k,Grasshopper Club Zurich,504
Meritan Shabani ,Attacking Midfield,"Mar 15, 1999 (24)","1,85m",right,"Jul 9, 2022",,€400k,Grasshopper Club Zurich,504
Leonardo Uka,Right Winger,"Jan 26, 2001 (22)","1,84m",left,"Jan 12, 2022",,€100k,Grasshopper Club Zurich,504
Sang-bin Jeong,Centre-Forward,"Apr 1, 2002 (21)","1,75m",right,"Jan 29, 2022",,€2.00m,Grasshopper Club Zurich,504
Renat Dadashov,Centre-Forward,"May 17, 1999 (24)","1,88m",right,"Jul 9, 2022",,€1.60m,Grasshopper Club Zurich,504
Francis Momoh,Centre-Forward,"Mar 25, 2001 (22)","1,87m",right,"Aug 1, 2019",,€900k,Grasshopper Club Zurich,504
Guilherme Schettine,Centre-Forward,"Oct 10, 1995 (27)","1,84m",right,"Jul 25, 2022",,€900k,Grasshopper Club Zurich,504
Shkelqim Demhasaj,Centre-Forward,"Apr 19, 1996 (27)","1,91m",right,"Jul 1, 2020",,€200k,Grasshopper Club Zurich,504
Timothy Fayulu,Goalkeeper,"Jul 24, 1999 (23)","1,92m",right,"Jul 1, 2022",,€1.00m,FC Winterthur,242
Markus Kuster,Goalkeeper,"Feb 22, 1994 (29)","1,95m",right,"Jan 1, 2023",,€600k,FC Winterthur,242
Jozef Pukaj,Goalkeeper,"Feb 13, 2000 (23)","1,92m",right,"Jul 1, 2021",,€200k,FC Winterthur,242
Armin Abaz,Goalkeeper,"Mar 27, 2002 (21)","1,87m",right,"Jul 1, 2022",,€100k,FC Winterthur,242
Yannick Schmid,Centre-Back,"May 11, 1995 (28)","1,84m",right,"Jul 27, 2022",,€500k,FC Winterthur,242
Remo Arnold ,Centre-Back,"Jan 17, 1997 (26)","1,90m",right,"Jan 1, 2020",,€300k,FC Winterthur,242
Roy Gelmi,Centre-Back,"Mar 1, 1995 (28)","1,88m",right,"Jul 24, 2021",,€200k,FC Winterthur,242
Granit Lekaj ,Centre-Back,"Feb 23, 1990 (33)","1,86m",right,"Jul 1, 2018",,€100k,FC Winterthur,242
Pascal Hammer,Centre-Back,"Jan 20, 2004 (19)","1,84m",right,"Jul 1, 2021",,-,FC Winterthur,242
Souleymane Diaby,Left-Back,"Oct 8, 1999 (23)","1,73m",left,"Jul 3, 2021",,€500k,FC Winterthur,242
Tobias Schättin ,Left-Back,"Jun 5, 1997 (26)","1,85m",left,"Jul 1, 2021",,€300k,FC Winterthur,242
Adrian Gantenbein,Right-Back,"Apr 18, 2001 (22)","1,83m",right,"Aug 14, 2020",,€500k,FC Winterthur,242
Michael Gonçalves,Right-Back,"Mar 10, 1995 (28)","1,74m",right,"Aug 26, 2020",,€200k,FC Winterthur,242
Eris Abedini,Defensive Midfield,"Aug 29, 1998 (24)","1,90m",right,"Jan 1, 2022",,€400k,FC Winterthur,242
Arlind Dakaj,Defensive Midfield,"Oct 13, 2001 (21)","1,76m",left,"Nov 10, 2021",,€200k,FC Winterthur,242
Thibault Corbaz,Defensive Midfield,"Jan 7, 1994 (29)","1,80m",right,"Jul 9, 2021",,€200k,FC Winterthur,242
Hekuran Kryeziu,Defensive Midfield,"Feb 12, 1993 (30)","1,81m",right,"Aug 3, 2022",,€200k,FC Winterthur,242
Gezim Pepsi,Defensive Midfield,"Jul 12, 1998 (24)","1,81m",right,"Feb 11, 2020",,€150k,FC Winterthur,242
Stephan Seiler,Central Midfield,"Sep 16, 2000 (22)","1,74m",right,"Aug 31, 2022",,€400k,FC Winterthur,242
Samuel Ballet,Right Midfield,"Mar 12, 2001 (22)","1,84m",right,"Jul 1, 2022",,€400k,FC Winterthur,242
Laurin Vögele,Right Midfield,"Aug 21, 2004 (18)","1,80m",right,"Jul 28, 2023",,€100k,FC Winterthur,242
Samir Ramizi,Left Midfield,"Jul 24, 1991 (31)","1,82m",right,"Aug 6, 2020",,€300k,FC Winterthur,242
Carmine Chiappetta,Left Midfield,"Mar 9, 2003 (20)","1,75m",right,"Jul 1, 2023",,€200k,FC Winterthur,242
Noe Holenstein,Left Midfield,"Mar 25, 2004 (19)","1,79m",left,"Feb 3, 2023",,€100k,FC Winterthur,242
Matteo Di Giusto,Attacking Midfield,"Aug 18, 2000 (22)","1,68m",right,"Jul 1, 2022",,€1.00m,FC Winterthur,242
Francisco Rodríguez ,Attacking Midfield,"Sep 14, 1995 (27)","1,77m",right,"Jul 1, 2022",,€200k,FC Winterthur,242
Nishan Burkart,Left Winger,"Jan 31, 2000 (23)","1,74m",right,"Jul 1, 2023",,€500k,FC Winterthur,242
Sayfallah Ltaief,Left Winger,"Apr 22, 2000 (23)","1,78m",right,"Jan 1, 2023",,€400k,FC Winterthur,242
Joaquín Ardaiz  ,Centre-Forward,"Jan 11, 1999 (24)","1,86m",left,"Feb 2, 2023",,€700k,FC Winterthur,242
Florian Kamberi,Centre-Forward,"Mar 8, 1995 (28)","1,89m",right,"Jul 1, 2022",,€400k,FC Winterthur,242
Neftali Manzambi,Centre-Forward,"Apr 23, 1997 (26)","1,79m",right,"Jul 6, 2021",,€200k,FC Winterthur,242
Roman Buess ,Centre-Forward,"Sep 21, 1992 (30)","1,83m",left,"Jul 1, 2019",,€200k,FC Winterthur,242
Heinz Lindner,Goalkeeper,"Jul 17, 1990 (32)","1,87m",right,"Jul 1, 2022",,€800k,FC Sion,321
Alexandros Safarikas,Goalkeeper,"Aug 26, 1999 (23)","1,94m",right,"Jul 1, 2022",,€200k,FC Sion,321
Shaban Kuquku,Goalkeeper,"Sep 18, 2001 (21)","1,94m",right,, ,€100k,FC Sion,321
Kevin Fickentscher,Goalkeeper,"Jul 6, 1988 (34)","1,81m",right,"Jul 1, 2009",,€100k,FC Sion,321
Joël Schmied ,Centre-Back,"Sep 23, 1998 (24)","1,88m",right,"Aug 23, 2021",,€700k,FC Sion,321
Nathanaël Saintini,Centre-Back,"May 30, 2000 (23)","1,88m",right,"Jan 8, 2019",,€500k,FC Sion,321
Gora Diouf,Centre-Back,"Sep 20, 2003 (19)","1,85m",left,"Aug 20, 2022",,€300k,FC Sion,321
Dimitri Cavaré,Centre-Back,"Feb 5, 1995 (28)","1,84m",right,"Feb 17, 2020",,€200k,FC Sion,321
Reto Ziegler ,Centre-Back,"Jan 16, 1986 (37)","1,83m",left,"Jan 1, 2023",,€100k,FC Sion,321
Gilles Richard,Centre-Back,"Feb 23, 2003 (20)","1,86m",right,"Jul 1, 2022",,€100k,FC Sion,321
Nathan Senerine,Centre-Back,"Feb 17, 2001 (22)","1,85m",right,, ,€50k,FC Sion,321
Baltazar,Left-Back,"May 6, 2000 (23)","1,78m",right,"Jul 1, 2018",,€500k,FC Sion,321
François Moubandje,Left-Back,"Jun 21, 1990 (33)","1,80m",left,"Aug 31, 2022",,€200k,FC Sion,321
Dennis Iapichino,Left-Back,"Jul 27, 1990 (32)","1,82m",left,"Sep 15, 2020",,€100k,FC Sion,321
Ruben Correia,Left-Back,"Jan 6, 2000 (23)","1,82m",left,, ,€50k,FC Sion,321
Numa Lavanchy,Right-Back,"Aug 25, 1993 (29)","1,74m",right,"Jul 1, 2022",,€500k,FC Sion,321
Alexandre Nsakala,Right-Back,"Mar 20, 2000 (23)","1,79m",right,"Jul 6, 2019",,€100k,FC Sion,321
Luca Jaquenoud ,Right-Back,"May 21, 2002 (21)","1,81m",right,, ,€100k,FC Sion,321
Evan Berrut,Defensive Midfield,"Mar 24, 2003 (20)","1,72m",left,, ,€100k,FC Sion,321
Wylan Cyprien,Central Midfield,"Jan 28, 1995 (28)","1,80m",right,"Aug 10, 2022",,€1.80m,FC Sion,321
Denis Will Poha,Central Midfield,"May 28, 1997 (26)","1,74m",right,"Jul 1, 2022",,€900k,FC Sion,321
Anto Grgic,Central Midfield,"Nov 28, 1996 (26)","1,89m",right,"Jul 1, 2019",,€800k,FC Sion,321
Musa Araz ,Central Midfield,"Jan 17, 1994 (29)","1,73m",left,"Oct 12, 2020",,€400k,FC Sion,321
Luca Zuffi ,Central Midfield,"Mar 27, 1990 (33)","1,82m",left,"Jul 1, 2021",,€100k,FC Sion,321
José Aguilar,Central Midfield,"Feb 5, 2001 (22)","1,72m", ,"Jul 1, 2022",,€100k,FC Sion,321
André Edgar,Central Midfield,"Jun 28, 1999 (24)","1,85m", ,"Sep 1, 2020",,€100k,FC Sion,321
Ilyas Chouaref,Left Winger,"Dec 12, 2000 (22)","1,84m",right,"Jul 1, 2022",,€700k,FC Sion,321
Kevin Halabaku,Left Winger,"Nov 29, 2001 (21)","1,81m",right,"Jul 1, 2022",,€400k,FC Sion,321
Kevin Bua ,Left Winger,"Aug 11, 1993 (29)","1,80m",right,"Jul 12, 2021",,€400k,FC Sion,321
Nicky Clescenco,Left Winger,"Jul 23, 2001 (21)","1,78m",right,, ,€75k,FC Sion,321
Itaitinga ,Right Winger,"Oct 4, 1998 (24)","1,81m",right,"Aug 24, 2018",,€600k,FC Sion,321
Yassin Fortuné,Right Winger,"Jan 30, 1999 (24)","1,86m",right,"Jul 1, 2018",,€300k,FC Sion,321
Filip Stojilkovic,Centre-Forward,"Jan 4, 2000 (23)","1,86m",right,"Jan 24, 2020",,€2.00m,FC Sion,321
Mario Balotelli,Centre-Forward,"Aug 12, 1990 (32)","1,89m",right,"Aug 31, 2022",,€1.50m,FC Sion,321
Giovanni Sio,Centre-Forward,"Mar 31, 1989 (34)","1,80m",left,"Nov 23, 2021",,€300k,FC Sion,321
Gaëtan Karlen,Centre-Forward,"Jun 7, 1993 (30)","1,86m",right,"Jul 1, 2020",,€200k,FC Sion,321
Abdel Zagré,Centre-Forward,"Mar 9, 2004 (19)","1,87m",right,"Jul 1, 2022",,€200k,FC Sion,321
