Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age,Season
Emmanuel Latte Lath,Centre-Forward,1999-01-01,"1,76m",right,2022-07-02,,1.5,FC St. Gallen 1879,257,24,2022_2023
Jérémy Guillemenot,Centre-Forward,1998-01-06,"1,84m",right,2019-01-30,,1.3,FC St. Gallen 1879,257,25,2022_2023
Alessio Besio,Centre-Forward,2004-03-18,"1,86m", ,2021-07-01,,0.8,FC St. Gallen 1879,257,19,2022_2023
Fabian Schubert,Centre-Forward,1994-08-29,"1,94m",right,2021-07-01,,0.5,FC St. Gallen 1879,257,28,2022_2023
Fabrizio Cavegn,Centre-Forward,2002-08-28,"1,78m",right,,,0.25,FC St. Gallen 1879,257,20,2022_2023
Noha Ndombasi,Centre-Forward,2001-04-28,"1,74m",right,2022-09-21,,0.1,FC St. Gallen 1879,257,22,2022_2023
Yanick Brecher ,Goalkeeper,1993-05-25,"1,96m",right,2011-07-01,,0.8,FC Zürich,260,30,2022_2023
Zivko Kostadinovic,Goalkeeper,1992-04-10,"1,96m",right,2020-08-03,,0.2,FC Zürich,260,31,2022_2023
Gianni De Nitti,Goalkeeper,2003-04-09,"1,86m",right,2021-07-01,,0.1,FC Zürich,260,20,2022_2023
Alan Omerovic,Goalkeeper,2002-07-16,"1,85m",right,2023-07-01,,0.025,FC Zürich,260,20,2022_2023
Becir Omeragic,Centre-Back,2002-01-20,"1,87m",right,2018-07-01,,3.0,FC Zürich,260,21,2022_2023
Fidan Aliti,Centre-Back,1993-10-03,"1,86m",left,2021-07-01,,1.3,FC Zürich,260,29,2022_2023
Nikola Katic,Centre-Back,1996-10-10,"1,94m",right,2022-08-31,,0.9,FC Zürich,260,26,2022_2023
Karol Mets,Centre-Back,1993-05-16,"1,91m",left,2022-01-07,,0.8,FC Zürich,260,30,2022_2023
Lindrit Kamberi,Centre-Back,1999-10-07,"1,83m",right,2018-07-01,,0.7,FC Zürich,260,23,2022_2023
Mirlind Kryeziu ,Centre-Back,1997-01-26,"1,96m",left,2017-04-11,,0.4,FC Zürich,260,26,2022_2023
Marc Hornschuh,Centre-Back,1991-03-02,"1,88m",right,2021-07-09,,0.2,FC Zürich,260,32,2022_2023
Ilan Sauter,Centre-Back,2001-02-06,"1,86m",left,2018-08-01,,0.1,FC Zürich,260,22,2022_2023
Ramon Guzzo,Left-Back,2004-07-05,"1,76m",left,2023-01-03,,0.1,FC Zürich,260,18,2022_2023
Selmin Hodza,Right-Back,2003-05-24,"1,78m",right,2022-09-14,,0.3,FC Zürich,260,20,2022_2023
Cheick Condé,Defensive Midfield,2000-07-26,"1,85m",right,2022-07-01,,1.6,FC Zürich,260,22,2022_2023
Ole Selnæs,Defensive Midfield,1994-07-07,"1,87m",left,2022-07-01,,1.2,FC Zürich,260,28,2022_2023
Ifeanyi Mathew,Central Midfield,1997-01-20,"1,75m",right,2023-02-15,,0.8,FC Zürich,260,26,2022_2023
Stephan Seiler,Central Midfield,2000-09-16,"1,74m",right,2020-07-09,,0.4,FC Zürich,260,22,2022_2023
Blerim Dzemaili,Central Midfield,1986-04-12,"1,80m",right,2021-01-01,,0.1,FC Zürich,260,37,2022_2023
Miguel Reichmuth,Central Midfield,2003-10-26,"1,71m",right,2022-09-14,,0.1,FC Zürich,260,19,2022_2023
Nikola Boranijasevic ,Right Midfield,1992-05-19,"1,82m",right,2021-07-01,,0.7,FC Zürich,260,31,2022_2023
Adrián Guerrero,Left Midfield,1998-01-28,"1,74m",left,2021-07-01,,1.7,FC Zürich,260,25,2022_2023
Bledian Krasniqi,Attacking Midfield,2001-06-17,"1,73m",right,2018-07-03,,1.0,FC Zürich,260,22,2022_2023
Antonio Marchesano,Attacking Midfield,1991-01-18,"1,68m",right,2015-09-02,,0.4,FC Zürich,260,32,2022_2023
Jonathan Okita,Left Winger,1996-10-05,"1,81m",right,2022-07-01,,1.3,FC Zürich,260,26,2022_2023
Donis Avdijaj,Left Winger,1996-08-25,"1,73m",right,2022-08-01,,0.8,FC Zürich,260,26,2022_2023
Akaki Gogia,Left Winger,1992-01-18,"1,78m",right,2021-07-28,,0.3,FC Zürich,260,31,2022_2023
Wilfried Gnonto,Right Winger,2003-11-05,"1,70m",right,2020-07-01,,18.0,FC Zürich,260,19,2022_2023
Fabian Rohner ,Right Winger,1998-08-17,"1,78m",right,2017-01-05,,0.3,FC Zürich,260,24,2022_2023
Daniel Afriyie,Second Striker,2001-06-26,"1,65m",right,2023-01-03,,0.3,FC Zürich,260,22,2022_2023
Roko Simic,Centre-Forward,2003-09-10,"1,90m",right,2023-01-05,,5.0,FC Zürich,260,19,2022_2023
Aiyegun Tosin,Centre-Forward,1998-06-26,"1,79m",right,2019-09-02,,3.2,FC Zürich,260,25,2022_2023
Junior Ligue,Centre-Forward,2005-03-21,"1,80m",left,2023-01-03,,0.7,FC Zürich,260,18,2022_2023
Bogdan Viunnyk ,Centre-Forward,2002-05-21,"1,85m",both,2022-08-05,,0.35,FC Zürich,260,21,2022_2023
Ivan Santini,Centre-Forward,1989-05-21,"1,90m",right,2022-07-01,,0.2,FC Zürich,260,34,2022_2023
Carson Buschman-Dormond,Centre-Forward,2002-10-27,"1,88m",left,2021-07-01,,0.05,FC Zürich,260,20,2022_2023
André Moreira,Goalkeeper,1995-12-02,"1,95m",right,2021-07-01,,1.2,Grasshopper Club Zurich,504,27,2022_2023
Justin Hammel,Goalkeeper,2000-12-02,"1,87m",right,2022-07-01,,0.5,Grasshopper Club Zurich,504,22,2022_2023
Manuel Kuttin,Goalkeeper,1993-12-17,"1,95m",right,2023-07-01,,0.2,Grasshopper Club Zurich,504,29,2022_2023
Levi Ntumba,Goalkeeper,2001-01-12,"1,95m",left,2022-01-07,,0.2,Grasshopper Club Zurich,504,22,2022_2023
Laurent Seji,Goalkeeper,2004-06-22,-, ,,,0.01,Grasshopper Club Zurich,504,19,2022_2023
Ayumu Seko,Centre-Back,2000-06-07,"1,85m",right,2022-01-18,,3.0,Grasshopper Club Zurich,504,23,2022_2023
Tomás Ribeiro,Centre-Back,1999-04-30,"1,85m",left,2022-01-27,,1.5,Grasshopper Club Zurich,504,24,2022_2023
Noah Loosli,Centre-Back,1997-01-23,"1,86m",right,2021-08-17,,0.8,Grasshopper Club Zurich,504,26,2022_2023
Georg Margreitter,Centre-Back,1988-11-07,"1,86m",right,2021-07-05,,0.1,Grasshopper Club Zurich,504,34,2022_2023
Dominik Schmid,Left-Back,1998-03-10,"1,82m",left,2020-08-07,,2.5,Grasshopper Club Zurich,504,25,2022_2023
Lei Li,Left-Back,1992-05-30,"1,82m",left,2022-01-05,,0.25,Grasshopper Club Zurich,504,31,2022_2023
Florian Hoxha,Left-Back,2001-02-22,"1,77m",left,2021-07-01,,0.1,Grasshopper Club Zurich,504,22,2022_2023
Teruki Hara,Right-Back,1998-07-30,"1,80m",right,2023-01-16,,0.5,Grasshopper Club Zurich,504,24,2022_2023
Nadjack,Right-Back,1994-02-06,"1,84m",right,2020-08-29,,0.2,Grasshopper Club Zurich,504,29,2022_2023
Amir Abrashi ,Defensive Midfield,1990-03-27,"1,72m",right,2021-07-01,,0.2,Grasshopper Club Zurich,504,33,2022_2023
Simone Stroscio,Defensive Midfield,2003-08-20,"1,76m",right,2022-03-01,,0.15,Grasshopper Club Zurich,504,19,2022_2023
Hayao Kawabe,Central Midfield,1995-09-08,"1,78m",right,2022-01-20,,2.8,Grasshopper Club Zurich,504,27,2022_2023
Tsiy Ndenge,Central Midfield,1997-06-13,"1,90m",left,2022-07-01,,0.8,Grasshopper Club Zurich,504,26,2022_2023
Christián Herc,Central Midfield,1998-09-30,"1,85m",right,2021-07-01,,0.7,Grasshopper Club Zurich,504,24,2022_2023
Noah Blasucci,Central Midfield,1999-06-19,"1,75m",right,,,0.1,Grasshopper Club Zurich,504,24,2022_2023
Samuel Marques,Central Midfield,2005-02-04,"1,74m", ,,,0.05,Grasshopper Club Zurich,504,18,2022_2023
Bendegúz Bolla,Right Midfield,1999-11-22,"1,79m",right,2021-07-18,,2.7,Grasshopper Club Zurich,504,23,2022_2023
Filipe de Carvalho,Left Midfield,2003-12-01,"1,76m",right,2021-01-24,,0.5,Grasshopper Club Zurich,504,19,2022_2023
Petar Pusic,Attacking Midfield,1999-01-25,"1,71m",left,2017-02-01,,0.9,Grasshopper Club Zurich,504,24,2022_2023
Giotto Morandi,Attacking Midfield,1999-03-04,"1,81m",left,2019-07-01,,0.8,Grasshopper Club Zurich,504,24,2022_2023
Dion Kacuri,Attacking Midfield,2004-02-11,"1,88m",left,2022-01-12,,0.6,Grasshopper Club Zurich,504,19,2022_2023
Meritan Shabani ,Attacking Midfield,1999-03-15,"1,85m",right,2022-07-09,,0.4,Grasshopper Club Zurich,504,24,2022_2023
Leonardo Uka,Right Winger,2001-01-26,"1,84m",left,2022-01-12,,0.1,Grasshopper Club Zurich,504,22,2022_2023
Sang-bin Jeong,Centre-Forward,2002-04-01,"1,75m",right,2022-01-29,,2.0,Grasshopper Club Zurich,504,21,2022_2023
Renat Dadashov,Centre-Forward,1999-05-17,"1,88m",right,2022-07-09,,1.6,Grasshopper Club Zurich,504,24,2022_2023
Francis Momoh,Centre-Forward,2001-03-25,"1,87m",right,2019-08-01,,0.9,Grasshopper Club Zurich,504,22,2022_2023
Guilherme Schettine,Centre-Forward,1995-10-10,"1,84m",right,2022-07-25,,0.9,Grasshopper Club Zurich,504,27,2022_2023
Shkelqim Demhasaj,Centre-Forward,1996-04-19,"1,91m",right,2020-07-01,,0.2,Grasshopper Club Zurich,504,27,2022_2023
Timothy Fayulu,Goalkeeper,1999-07-24,"1,92m",right,2022-07-01,,1.0,FC Winterthur,242,23,2022_2023
Markus Kuster,Goalkeeper,1994-02-22,"1,95m",right,2023-01-01,,0.6,FC Winterthur,242,29,2022_2023
Jozef Pukaj,Goalkeeper,2000-02-13,"1,92m",right,2021-07-01,,0.2,FC Winterthur,242,23,2022_2023
Armin Abaz,Goalkeeper,2002-03-27,"1,87m",right,2022-07-01,,0.1,FC Winterthur,242,21,2022_2023
Yannick Schmid,Centre-Back,1995-05-11,"1,84m",right,2022-07-27,,0.5,FC Winterthur,242,28,2022_2023
Remo Arnold ,Centre-Back,1997-01-17,"1,90m",right,2020-01-01,,0.3,FC Winterthur,242,26,2022_2023
Roy Gelmi,Centre-Back,1995-03-01,"1,88m",right,2021-07-24,,0.2,FC Winterthur,242,28,2022_2023
Granit Lekaj ,Centre-Back,1990-02-23,"1,86m",right,2018-07-01,,0.1,FC Winterthur,242,33,2022_2023
Pascal Hammer,Centre-Back,2004-01-20,"1,84m",right,2021-07-01,,0.0,FC Winterthur,242,19,2022_2023
Souleymane Diaby,Left-Back,1999-10-08,"1,73m",left,2021-07-03,,0.5,FC Winterthur,242,23,2022_2023
Tobias Schättin ,Left-Back,1997-06-05,"1,85m",left,2021-07-01,,0.3,FC Winterthur,242,26,2022_2023
Adrian Gantenbein,Right-Back,2001-04-18,"1,83m",right,2020-08-14,,0.5,FC Winterthur,242,22,2022_2023
Michael Gonçalves,Right-Back,1995-03-10,"1,74m",right,2020-08-26,,0.2,FC Winterthur,242,28,2022_2023
Eris Abedini,Defensive Midfield,1998-08-29,"1,90m",right,2022-01-01,,0.4,FC Winterthur,242,24,2022_2023
Arlind Dakaj,Defensive Midfield,2001-10-13,"1,76m",left,2021-11-10,,0.2,FC Winterthur,242,21,2022_2023
Thibault Corbaz,Defensive Midfield,1994-01-07,"1,80m",right,2021-07-09,,0.2,FC Winterthur,242,29,2022_2023
Hekuran Kryeziu,Defensive Midfield,1993-02-12,"1,81m",right,2022-08-03,,0.2,FC Winterthur,242,30,2022_2023
Gezim Pepsi,Defensive Midfield,1998-07-12,"1,81m",right,2020-02-11,,0.15,FC Winterthur,242,24,2022_2023
Stephan Seiler,Central Midfield,2000-09-16,"1,74m",right,2022-08-31,,0.4,FC Winterthur,242,22,2022_2023
Samuel Ballet,Right Midfield,2001-03-12,"1,84m",right,2022-07-01,,0.4,FC Winterthur,242,22,2022_2023
Laurin Vögele,Right Midfield,2004-08-21,"1,80m",right,2023-07-28,,0.1,FC Winterthur,242,18,2022_2023
Samir Ramizi,Left Midfield,1991-07-24,"1,82m",right,2020-08-06,,0.3,FC Winterthur,242,31,2022_2023
Carmine Chiappetta,Left Midfield,2003-03-09,"1,75m",right,2023-07-01,,0.2,FC Winterthur,242,20,2022_2023
Noe Holenstein,Left Midfield,2004-03-25,"1,79m",left,2023-02-03,,0.1,FC Winterthur,242,19,2022_2023
Matteo Di Giusto,Attacking Midfield,2000-08-18,"1,68m",right,2022-07-01,,1.0,FC Winterthur,242,22,2022_2023
Francisco Rodríguez ,Attacking Midfield,1995-09-14,"1,77m",right,2022-07-01,,0.2,FC Winterthur,242,27,2022_2023
Nishan Burkart,Left Winger,2000-01-31,"1,74m",right,2023-07-01,,0.5,FC Winterthur,242,23,2022_2023
Sayfallah Ltaief,Left Winger,2000-04-22,"1,78m",right,2023-01-01,,0.4,FC Winterthur,242,23,2022_2023
Joaquín Ardaiz  ,Centre-Forward,1999-01-11,"1,86m",left,2023-02-02,,0.7,FC Winterthur,242,24,2022_2023
Florian Kamberi,Centre-Forward,1995-03-08,"1,89m",right,2022-07-01,,0.4,FC Winterthur,242,28,2022_2023
Neftali Manzambi,Centre-Forward,1997-04-23,"1,79m",right,2021-07-06,,0.2,FC Winterthur,242,26,2022_2023
Roman Buess ,Centre-Forward,1992-09-21,"1,83m",left,2019-07-01,,0.2,FC Winterthur,242,30,2022_2023
Heinz Lindner,Goalkeeper,1990-07-17,"1,87m",right,2022-07-01,,0.8,FC Sion,321,32,2022_2023
Alexandros Safarikas,Goalkeeper,1999-08-26,"1,94m",right,2022-07-01,,0.2,FC Sion,321,23,2022_2023
Shaban Kuquku,Goalkeeper,2001-09-18,"1,94m",right,,,0.1,FC Sion,321,21,2022_2023
Kevin Fickentscher,Goalkeeper,1988-07-06,"1,81m",right,2009-07-01,,0.1,FC Sion,321,34,2022_2023
Joël Schmied ,Centre-Back,1998-09-23,"1,88m",right,2021-08-23,,0.7,FC Sion,321,24,2022_2023
Nathanaël Saintini,Centre-Back,2000-05-30,"1,88m",right,2019-01-08,,0.5,FC Sion,321,23,2022_2023
Gora Diouf,Centre-Back,2003-09-20,"1,85m",left,2022-08-20,,0.3,FC Sion,321,19,2022_2023
Dimitri Cavaré,Centre-Back,1995-02-05,"1,84m",right,2020-02-17,,0.2,FC Sion,321,28,2022_2023
Reto Ziegler ,Centre-Back,1986-01-16,"1,83m",left,2023-01-01,,0.1,FC Sion,321,37,2022_2023
Gilles Richard,Centre-Back,2003-02-23,"1,86m",right,2022-07-01,,0.1,FC Sion,321,20,2022_2023
Nathan Senerine,Centre-Back,2001-02-17,"1,85m",right,,,0.05,FC Sion,321,22,2022_2023
Baltazar,Left-Back,2000-05-06,"1,78m",right,2018-07-01,,0.5,FC Sion,321,23,2022_2023
François Moubandje,Left-Back,1990-06-21,"1,80m",left,2022-08-31,,0.2,FC Sion,321,33,2022_2023
Dennis Iapichino,Left-Back,1990-07-27,"1,82m",left,2020-09-15,,0.1,FC Sion,321,32,2022_2023
Ruben Correia,Left-Back,2000-01-06,"1,82m",left,,,0.05,FC Sion,321,23,2022_2023
Numa Lavanchy,Right-Back,1993-08-25,"1,74m",right,2022-07-01,,0.5,FC Sion,321,29,2022_2023
Alexandre Nsakala,Right-Back,2000-03-20,"1,79m",right,2019-07-06,,0.1,FC Sion,321,23,2022_2023
Luca Jaquenoud ,Right-Back,2002-05-21,"1,81m",right,,,0.1,FC Sion,321,21,2022_2023
Evan Berrut,Defensive Midfield,2003-03-24,"1,72m",left,,,0.1,FC Sion,321,20,2022_2023
Wylan Cyprien,Central Midfield,1995-01-28,"1,80m",right,2022-08-10,,1.8,FC Sion,321,28,2022_2023
Denis Will Poha,Central Midfield,1997-05-28,"1,74m",right,2022-07-01,,0.9,FC Sion,321,26,2022_2023
Anto Grgic,Central Midfield,1996-11-28,"1,89m",right,2019-07-01,,0.8,FC Sion,321,26,2022_2023
Musa Araz ,Central Midfield,1994-01-17,"1,73m",left,2020-10-12,,0.4,FC Sion,321,29,2022_2023
Luca Zuffi ,Central Midfield,1990-03-27,"1,82m",left,2021-07-01,,0.1,FC Sion,321,33,2022_2023
José Aguilar,Central Midfield,2001-02-05,"1,72m", ,2022-07-01,,0.1,FC Sion,321,22,2022_2023
André Edgar,Central Midfield,1999-06-28,"1,85m", ,2020-09-01,,0.1,FC Sion,321,24,2022_2023
Ilyas Chouaref,Left Winger,2000-12-12,"1,84m",right,2022-07-01,,0.7,FC Sion,321,22,2022_2023
Kevin Halabaku,Left Winger,2001-11-29,"1,81m",right,2022-07-01,,0.4,FC Sion,321,21,2022_2023
Kevin Bua ,Left Winger,1993-08-11,"1,80m",right,2021-07-12,,0.4,FC Sion,321,29,2022_2023
Nicky Clescenco,Left Winger,2001-07-23,"1,78m",right,,,0.075,FC Sion,321,21,2022_2023
Itaitinga ,Right Winger,1998-10-04,"1,81m",right,2018-08-24,,0.6,FC Sion,321,24,2022_2023
Yassin Fortuné,Right Winger,1999-01-30,"1,86m",right,2018-07-01,,0.3,FC Sion,321,24,2022_2023
Filip Stojilkovic,Centre-Forward,2000-01-04,"1,86m",right,2020-01-24,,2.0,FC Sion,321,23,2022_2023
Mario Balotelli,Centre-Forward,1990-08-12,"1,89m",right,2022-08-31,,1.5,FC Sion,321,32,2022_2023
Giovanni Sio,Centre-Forward,1989-03-31,"1,80m",left,2021-11-23,,0.3,FC Sion,321,34,2022_2023
Gaëtan Karlen,Centre-Forward,1993-06-07,"1,86m",right,2020-07-01,,0.2,FC Sion,321,30,2022_2023
Abdel Zagré,Centre-Forward,2004-03-09,"1,87m",right,2022-07-01,,0.2,FC Sion,321,19,2022_2023
