Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age,Season
Jozo Stanic ,Centre-Back,1999-04-06,"1,84m",right,"Sep 2, 2023","Jun 30, 2025",0.7,FC St. Gallen 1879,257,25,2023_2024
Abdoulaye Diaby,Centre-Back,2000-07-04,"1,98m",right,"Jul 1, 2023","Jun 30, 2025",0.7,FC St. Gallen 1879,257,23,2023_2024
Justin Janitzek,Centre-Back,2004-02-10,"1,92m",right,"Jul 1, 2023","Jun 30, 2024",0.2,FC St. Gallen 1879,257,20,2023_2024
Musah Nuhu,Centre-Back,1997-01-17,"1,95m",right,"Jul 1, 2019","Jun 30, 2024",0.1,FC St. Gallen 1879,257,27,2023_2024
Isaac Schmidt,Left-Back,1999-12-07,"1,72m",right,"Jul 1, 2021","Jun 30, 2026",1.4,FC St. Gallen 1879,257,24,2023_2024
Chima Okoroji,Left-Back,1997-04-19,"1,78m",left,"Jul 22, 2023","Jun 30, 2025",1.0,FC St. Gallen 1879,257,26,2023_2024
Mattia Zanotti,Right-Back,2003-01-11,"1,75m",right,"Jul 3, 2023","Jun 30, 2024",3.0,FC St. Gallen 1879,257,21,2023_2024
Patrick Sutter,Right-Back,1999-01-18,"1,72m",right,"Jul 1, 2021","Jun 30, 2024",0.3,FC St. Gallen 1879,257,25,2023_2024
Jordi Quintillà,Defensive Midfield,1993-10-25,"1,81m",left,"Jan 22, 2022","Jun 30, 2025",1.0,FC St. Gallen 1879,257,30,2023_2024
Betim Fazliji ,Defensive Midfield,1999-04-25,"1,86m",right,"Jul 1, 2023","Jun 30, 2027",0.7,FC St. Gallen 1879,257,24,2023_2024
Corsin Konietzke,Defensive Midfield,2006-06-21,"1,85m",right,,"Jun 30, 2024",0.2,FC St. Gallen 1879,257,17,2023_2024
Bastien Toma,Central Midfield,1999-06-24,"1,74m",right,"Sep 7, 2023","Jun 30, 2025",1.0,FC St. Gallen 1879,257,24,2023_2024
Mihailo Stevanovic,Central Midfield,2002-01-04,"1,86m",right,"Jul 1, 2023","Jun 30, 2025",0.8,FC St. Gallen 1879,257,22,2023_2024
Lukas Görtler ,Right Midfield,1994-06-15,"1,86m",right,"Jul 8, 2019","Jun 30, 2026",2.0,FC St. Gallen 1879,257,29,2023_2024
Christian Witzig,Left Midfield,2001-01-09,"1,78m",right,"Jul 1, 2021","Jun 30, 2027",1.7,FC St. Gallen 1879,257,23,2023_2024
Víctor Ruiz,Attacking Midfield,1993-11-02,"1,73m",right,"Feb 14, 2024","Jun 30, 2024",0.5,FC St. Gallen 1879,257,30,2023_2024
Grégory Karlen,Attacking Midfield,1995-01-30,"1,87m",right,"Aug 3, 2022","Jun 30, 2025",0.2,FC St. Gallen 1879,257,29,2023_2024
Richard van der Venne ,Attacking Midfield,1992-05-16,"1,73m",left,"Jul 5, 2023","Jun 30, 2025",0.1,FC St. Gallen 1879,257,31,2023_2024
Felix Mambimbi ,Left Winger,2001-01-18,"1,71m",right,"Sep 2, 2023","Jun 30, 2025",0.5,FC St. Gallen 1879,257,23,2023_2024
Julian Von Moos,Right Winger,2001-04-01,"1,81m",left,"Jan 3, 2022","Jun 30, 2024",1.8,FC St. Gallen 1879,257,23,2023_2024
Chadrac Akolo,Right Winger,1995-04-01,"1,72m",right,"Jul 3, 2022","Jun 30, 2024",0.9,FC St. Gallen 1879,257,29,2023_2024
Albin Krasniqi,Right Winger,2003-04-06,"1,80m",right,,"Jun 30, 2024",0.5,FC St. Gallen 1879,257,21,2023_2024
Willem Geubbels,Centre-Forward,2001-08-16,"1,85m",right,"Jan 23, 2023","Jun 30, 2025",2.5,FC St. Gallen 1879,257,22,2023_2024
Nikolaj Möller ,Centre-Forward,2002-07-20,"1,94m",right,"Jul 1, 2023","Jun 30, 2027",0.6,FC St. Gallen 1879,257,21,2023_2024
Fabian Schubert,Centre-Forward,1994-08-29,"1,94m",right,"Jul 1, 2021","Jun 30, 2024",0.5,FC St. Gallen 1879,257,29,2023_2024
Jovan Milosevic,Centre-Forward,2005-07-31,"1,90m",right,"Feb 13, 2024","Jun 30, 2024",0.5,FC St. Gallen 1879,257,18,2023_2024
Yanick Brecher ,Goalkeeper,1993-05-25,"1,96m",right,"Jul 1, 2011","Jun 30, 2027",0.8,FC Zürich,260,30,2023_2024
Zivko Kostadinovic,Goalkeeper,1992-04-10,"1,96m",right,"Aug 3, 2020","Jun 30, 2025",0.2,FC Zürich,260,31,2023_2024
Alan Omerovic,Goalkeeper,2002-07-16,"1,85m",right,"Jul 1, 2023","Jun 30, 2024",0.1,FC Zürich,260,21,2023_2024
Nikola Katic,Centre-Back,1996-10-10,"1,94m",right,"Aug 31, 2022","Jun 30, 2026",1.5,FC Zürich,260,27,2023_2024
Lindrit Kamberi,Centre-Back,1999-10-07,"1,83m",right,"Jul 1, 2018","Jun 30, 2028",1.0,FC Zürich,260,24,2023_2024
Silvan Wallner,Centre-Back,2002-01-15,"1,85m",right,"Aug 3, 2020","Jun 30, 2025",0.3,FC Zürich,260,22,2023_2024
Fabio Daprelà,Centre-Back,1991-02-19,"1,83m",left,"Jul 1, 2023","Jun 30, 2025",0.2,FC Zürich,260,33,2023_2024
Mirlind Kryeziu,Centre-Back,1997-01-26,"1,96m",left,"Apr 11, 2017","Jun 30, 2025",0.2,FC Zürich,260,27,2023_2024
Marc Hornschuh,Centre-Back,1991-03-02,"1,88m",right,"Jul 9, 2021","Jun 30, 2024",0.1,FC Zürich,260,33,2023_2024
Amadou Dante,Left-Back,2000-10-07,"1,78m",left,"Feb 8, 2024","Jun 30, 2024",2.0,FC Zürich,260,23,2023_2024
Ramon Guzzo,Left-Back,2004-07-05,"1,76m",left,"Jan 3, 2023","Jun 30, 2026",0.2,FC Zürich,260,19,2023_2024
Rodrigo Conceição,Right-Back,2000-01-02,"1,75m",right,"Aug 17, 2023","Jun 30, 2027",1.2,FC Zürich,260,24,2023_2024
Selmin Hodza,Right-Back,2003-05-24,"1,78m",right,"Sep 14, 2022","Jun 30, 2028",0.3,FC Zürich,260,20,2023_2024
Cheick Condé,Defensive Midfield,2000-07-26,"1,85m",right,"Jul 1, 2022","Jun 30, 2027",3.0,FC Zürich,260,23,2023_2024
Ifeanyi Mathew,Central Midfield,1997-01-20,"1,75m",right,"Feb 15, 2023","Jun 30, 2025",1.5,FC Zürich,260,27,2023_2024
Miguel Reichmuth,Central Midfield,2003-10-26,"1,71m",right,"Sep 14, 2022","Jun 30, 2028",0.1,FC Zürich,260,20,2023_2024
Nikola Boranijasevic,Right Midfield,1992-05-19,"1,82m",right,"Jul 1, 2021","Jun 30, 2024",0.3,FC Zürich,260,31,2023_2024
Adrián Guerrero,Left Midfield,1998-01-28,"1,74m",left,"Jul 1, 2021","Jun 30, 2024",1.3,FC Zürich,260,26,2023_2024
Bledian Krasniqi,Attacking Midfield,2001-06-17,"1,73m",right,"Jul 3, 2018","Jun 30, 2027",1.0,FC Zürich,260,22,2023_2024
Antonio Marchesano,Attacking Midfield,1991-01-18,"1,68m",right,"Sep 2, 2015","Jun 30, 2024",0.3,FC Zürich,260,33,2023_2024
Nils Reichmuth,Attacking Midfield,2002-02-22,"1,75m",right,"Jun 18, 2020","Jun 30, 2025",0.3,FC Zürich,260,22,2023_2024
Jonathan Okita,Left Winger,1996-10-05,"1,81m",right,"Jul 1, 2022","Jun 30, 2025",2.0,FC Zürich,260,27,2023_2024
Armstrong Oko-Flex,Left Winger,2002-03-02,"1,86m",right,"Aug 14, 2023","Jun 30, 2025",0.5,FC Zürich,260,22,2023_2024
Joseph Sabobo,Left Winger,2005-12-17,"1,67m",left,"Jan 16, 2024","Jun 30, 2028",0.2,FC Zürich,260,18,2023_2024
Fabian Rohner,Right Winger,1998-08-17,"1,78m",right,"Jan 5, 2017","Jun 30, 2025",0.3,FC Zürich,260,25,2023_2024
Daniel Afriyie,Second Striker,2001-06-26,"1,65m",right,"Jan 3, 2023","Jun 30, 2026",1.0,FC Zürich,260,22,2023_2024
Junior Ligue,Centre-Forward,2005-03-21,"1,80m",left,"Jan 3, 2023","Jun 30, 2028",0.7,FC Zürich,260,19,2023_2024
Labinot Bajrami,Centre-Forward,2005-06-04,"1,87m",right,,"Jun 30, 2024",0.4,FC Zürich,260,18,2023_2024
Ivan Santini,Centre-Forward,1989-05-21,"1,90m",right,"Jul 1, 2022","Jun 30, 2024",0.1,FC Zürich,260,34,2023_2024
Justin Hammel,Goalkeeper,2000-12-02,"1,87m",right,"Jul 1, 2022","Jun 30, 2025",1.0,Grasshopper Club Zurich,504,23,2023_2024
Manuel Kuttin,Goalkeeper,1993-12-17,"1,95m",right,"Jul 1, 2023",-,0.2,Grasshopper Club Zurich,504,30,2023_2024
Nicolas Glaus,Goalkeeper,2002-05-10,"1,87m",right,"Jul 1, 2023",-,0.1,Grasshopper Club Zurich,504,21,2023_2024
Steven Deana,Goalkeeper,1990-03-04,"1,90m",right,"Feb 15, 2024",-,0.1,Grasshopper Club Zurich,504,34,2023_2024
Ayumu Seko,Centre-Back,2000-06-07,"1,85m",right,"Jan 18, 2022","Jun 30, 2025",1.7,Grasshopper Club Zurich,504,23,2023_2024
Kristers Tobers ,Centre-Back,2000-12-13,"1,90m",right,"Jul 1, 2023","Jun 30, 2025",0.8,Grasshopper Club Zurich,504,23,2023_2024
Maksim Paskotsi,Centre-Back,2003-01-19,"1,88m",right,"Sep 6, 2023","Jun 30, 2026",0.5,Grasshopper Club Zurich,504,21,2023_2024
Joshua Laws,Centre-Back,1998-02-26,"1,85m",left,"Aug 15, 2023","Jun 30, 2025",0.4,Grasshopper Club Zurich,504,26,2023_2024
Elvir Zukaj,Centre-Back,2002-07-07,"1,94m",right,,-,0.1,Grasshopper Club Zurich,504,21,2023_2024
Théo Ndicka Matam,Left-Back,2000-04-20,"1,69m",left,"Aug 29, 2023","Jun 30, 2025",0.5,Grasshopper Club Zurich,504,23,2023_2024
Florian Hoxha,Left-Back,2001-02-22,"1,77m",left,"Jul 1, 2021","Jun 30, 2024",0.5,Grasshopper Club Zurich,504,23,2023_2024
Michael Kempter ,Left-Back,1995-01-12,"1,81m",left,"Jul 1, 2023","Jun 30, 2025",0.3,Grasshopper Club Zurich,504,29,2023_2024
Dirk Abels,Right-Back,1997-06-13,"1,86m",right,"Jul 17, 2023","Jun 30, 2025",0.6,Grasshopper Club Zurich,504,26,2023_2024
Liam Bollati,Right-Back,2003-11-09,"1,74m", ,"Jul 6, 2022","Jun 30, 2024",0.3,Grasshopper Club Zurich,504,20,2023_2024
Tim Meyer,Defensive Midfield,2004-07-08,"1,83m",right,"Aug 24, 2023","Jun 30, 2025",0.4,Grasshopper Club Zurich,504,19,2023_2024
Amir Abrashi ,Defensive Midfield,1990-03-27,"1,72m",right,"Jul 1, 2021","Jun 30, 2025",0.2,Grasshopper Club Zurich,504,34,2023_2024
Tsiy Ndenge,Central Midfield,1997-06-13,"1,90m",left,"Jul 1, 2022","Jun 30, 2025",1.5,Grasshopper Club Zurich,504,26,2023_2024
Noah Blasucci,Central Midfield,1999-06-19,"1,75m",right,,"Jun 30, 2024",0.1,Grasshopper Club Zurich,504,24,2023_2024
Filipe de Carvalho,Left Midfield,2003-12-01,"1,76m",right,"Jan 24, 2021","Jun 30, 2025",1.0,Grasshopper Club Zurich,504,20,2023_2024
Robin Kalem,Left Midfield,2002-07-14,"1,81m",right,"Jun 17, 2020","Jun 30, 2024",0.2,Grasshopper Club Zurich,504,21,2023_2024
Pascal Schürpf,Left Midfield,1989-07-15,"1,90m",right,"Jul 1, 2023","Jun 30, 2024",0.1,Grasshopper Club Zurich,504,34,2023_2024
Dijon Kameri ,Attacking Midfield,2004-04-20,"1,84m",right,"Feb 8, 2024","Jun 30, 2024",3.0,Grasshopper Club Zurich,504,19,2023_2024
Giotto Morandi,Attacking Midfield,1999-03-04,"1,81m",left,"Jul 1, 2019","Jun 30, 2025",0.8,Grasshopper Club Zurich,504,25,2023_2024
Oliver Batista Meier,Attacking Midfield,2001-02-16,"1,80m",right,"Feb 2, 2024","Jun 30, 2024",0.7,Grasshopper Club Zurich,504,23,2023_2024
Meritan Shabani ,Attacking Midfield,1999-03-15,"1,85m",right,"Jul 9, 2022","Jun 30, 2024",0.3,Grasshopper Club Zurich,504,25,2023_2024
Awer Mabil ,Left Winger,1995-09-15,"1,78m",right,"Aug 21, 2023","Jun 30, 2025",1.3,Grasshopper Club Zurich,504,28,2023_2024
Damian Nigg ,Left Winger,2005-04-12,"1,78m",right,,"Jun 30, 2024",0.2,Grasshopper Club Zurich,504,18,2023_2024
Francis Momoh,Centre-Forward,2001-03-25,"1,87m",right,"Aug 1, 2019","Jun 30, 2024",0.9,Grasshopper Club Zurich,504,23,2023_2024
Bradley Fink,Centre-Forward,2003-04-17,"1,92m",left,"Jul 20, 2023","Jun 30, 2024",0.7,Grasshopper Club Zurich,504,20,2023_2024
Dorian Babunski,Centre-Forward,1996-08-29,"1,86m",right,"Aug 28, 2023","Jun 30, 2025",0.6,Grasshopper Club Zurich,504,27,2023_2024
Asumah Abubakar,Centre-Forward,1997-05-10,"1,83m",right,"Jan 29, 2024","Jun 30, 2025",0.3,Grasshopper Club Zurich,504,26,2023_2024
Paul Bernardoni,Goalkeeper,1997-04-18,"1,93m",left,"Jan 21, 2024","Jun 30, 2024",2.2,Yverdon Sport FC,322,26,2023_2024
Kevin Martin,Goalkeeper,1995-06-13,"1,80m",left,"Jul 1, 2018","Jun 30, 2024",0.3,Yverdon Sport FC,322,28,2023_2024
Mirco Mazzeo,Goalkeeper,1999-12-15,"1,91m",right,"Jul 1, 2022","Jun 30, 2024",0.1,Yverdon Sport FC,322,24,2023_2024
Breston Malula,Centre-Back,2000-10-31,"1,94m",right,"Aug 30, 2021","Jun 30, 2025",0.5,Yverdon Sport FC,322,23,2023_2024
Mohamed Tijani,Centre-Back,1997-07-10,"1,90m",left,"Jul 17, 2023","Jun 30, 2024",0.4,Yverdon Sport FC,322,26,2023_2024
Dario Del Fabro,Centre-Back,1995-03-24,"1,90m",right,"Jul 16, 2023","Jun 30, 2026",0.4,Yverdon Sport FC,322,29,2023_2024
Christian Marques,Centre-Back,2003-01-15,"1,88m",right,"Sep 7, 2023","Jun 30, 2025",0.3,Yverdon Sport FC,322,21,2023_2024
Niklas Gunnarsson,Centre-Back,1991-04-27,"1,88m",right,"Aug 15, 2023","Jun 30, 2025",0.2,Yverdon Sport FC,322,32,2023_2024
Dimitrije Kamenovic,Left-Back,2000-07-16,"1,89m",left,"Feb 15, 2024","Jun 30, 2024",0.5,Yverdon Sport FC,322,23,2023_2024
William Le Pogam ,Left-Back,1993-03-03,"1,83m",left,"Aug 3, 2020","Jun 30, 2025",0.3,Yverdon Sport FC,322,31,2023_2024
Anthony Sauthier ,Right-Back,1991-02-05,"1,85m",right,"Jul 12, 2022","Jun 30, 2025",0.2,Yverdon Sport FC,322,33,2023_2024
Luca Jaquenoud ,Right-Back,2002-05-21,"1,81m",right,"Jul 1, 2021","Jun 30, 2024",0.1,Yverdon Sport FC,322,21,2023_2024
Boris Céspedes,Defensive Midfield,1995-06-19,"1,81m",right,"Jul 3, 2023","Jun 30, 2025",0.6,Yverdon Sport FC,322,28,2023_2024
Samuel Oum Gouet,Defensive Midfield,1997-12-14,"1,85m",right,"Jul 26, 2023","Jun 30, 2025",0.5,Yverdon Sport FC,322,26,2023_2024
Néhemie Lusuena,Defensive Midfield,1998-04-29,"1,75m",right,"Jul 1, 2016","Jun 30, 2024",0.3,Yverdon Sport FC,322,25,2023_2024
Vladan Vidakovic,Defensive Midfield,1999-03-14,"1,93m",right,"Jan 22, 2024","Jun 30, 2026",0.3,Yverdon Sport FC,322,25,2023_2024
Liziero ,Central Midfield,1998-02-07,"1,77m",left,"Sep 6, 2023","Jun 30, 2024",1.5,Yverdon Sport FC,322,26,2023_2024
Mathias Olesen,Central Midfield,2001-03-21,"1,88m",both,"Jan 23, 2024","Jun 30, 2024",1.2,Yverdon Sport FC,322,23,2023_2024
Dominic Corness ,Central Midfield,2003-05-05,"1,74m",right,"Jul 20, 2023","Jun 30, 2024",0.5,Yverdon Sport FC,322,20,2023_2024
Ricardo Alves,Central Midfield,2001-12-02,"1,77m",left,"Jul 17, 2023","Jun 30, 2025",0.3,Yverdon Sport FC,322,22,2023_2024
Silva ,Central Midfield,1995-09-07,"1,83m",right,"Jul 12, 2022","Jun 30, 2025",0.3,Yverdon Sport FC,322,28,2023_2024
Alan Rodriguez,Central Midfield,2002-07-12,"1,78m",right,"Jul 1, 2022","Jun 30, 2024",0.1,Yverdon Sport FC,322,21,2023_2024
Magnus Grødem ,Attacking Midfield,1998-08-14,"1,93m",right,"Jan 16, 2024","Jun 30, 2026",1.2,Yverdon Sport FC,322,25,2023_2024
Hugo Fargues,Attacking Midfield,1992-04-16,"1,78m",left,"Jan 4, 2019","Jun 30, 2024",0.1,Yverdon Sport FC,322,31,2023_2024
Marley Aké,Left Winger,2001-01-05,"1,78m",right,"Jan 18, 2024","Jun 30, 2024",1.6,Yverdon Sport FC,322,23,2023_2024
Mihael Klepac ,Left Winger,1997-09-19,"1,84m",right,"Jul 18, 2023","Jun 30, 2025",0.4,Yverdon Sport FC,322,26,2023_2024
Yannick Cotter,Left Winger,2002-01-03,"1,76m",left,"Aug 22, 2023","Jun 30, 2025",0.1,Yverdon Sport FC,322,22,2023_2024
Varol Tasar ,Right Winger,1996-10-04,"1,74m",left,"Jul 19, 2023","Jun 30, 2024",0.6,Yverdon Sport FC,322,27,2023_2024
Mauro Rodrigues,Right Winger,2001-04-15,"1,78m",right,"Jul 7, 2022","Jun 30, 2024",0.4,Yverdon Sport FC,322,22,2023_2024
Johan Kury ,Right Winger,2001-10-07,"1,78m",right,"Jul 25, 2022","Jun 30, 2025",0.1,Yverdon Sport FC,322,22,2023_2024
Kevin Carlos,Centre-Forward,2001-04-10,"1,86m",right,"Jan 3, 2024",-,1.2,Yverdon Sport FC,322,22,2023_2024
Aimen Mahious,Centre-Forward,1997-09-15,"1,85m",right,"Aug 9, 2023","Jun 30, 2026",1.0,Yverdon Sport FC,322,26,2023_2024
Christopher Lungoyi,Centre-Forward,2000-07-04,"1,82m",left,"Aug 11, 2023","Jun 30, 2024",0.8,Yverdon Sport FC,322,23,2023_2024
Evans Maurin ,Centre-Forward,2001-03-30,"1,79m",left,"Feb 9, 2023",-,0.4,Yverdon Sport FC,322,23,2023_2024
Jérémy Vachoux,Goalkeeper,1994-07-07,"1,83m",right,"Jul 26, 2023","Jun 15, 2025",0.5,FC Stade-Lausanne-Ouchy,5499,29,2023_2024
Dany Da Silva,Goalkeeper,1993-03-02,"1,88m",right,"Sep 3, 2020","Jun 15, 2025",0.3,FC Stade-Lausanne-Ouchy,5499,31,2023_2024
Sahmkou Camara,Centre-Back,2003-06-10,"1,93m",right,"Jul 1, 2023","Jun 15, 2027",0.5,FC Stade-Lausanne-Ouchy,5499,20,2023_2024
Lucas Pos,Centre-Back,1998-02-16,"1,87m",right,"Jul 7, 2021","Jun 30, 2025",0.4,FC Stade-Lausanne-Ouchy,5499,26,2023_2024
Lavdrim Hajrulahu ,Centre-Back,1998-03-07,"1,87m",right,"Jan 1, 2017","Jun 30, 2024",0.4,FC Stade-Lausanne-Ouchy,5499,26,2023_2024
Dylan Ouedraogo,Centre-Back,1998-07-22,"1,85m",left,"Aug 8, 2023","Jun 15, 2025",0.3,FC Stade-Lausanne-Ouchy,5499,25,2023_2024
Rayan Kadima,Centre-Back,1997-12-15,"1,87m",right,"Jul 1, 2021","Jun 15, 2025",0.3,FC Stade-Lausanne-Ouchy,5499,26,2023_2024
Linus Obexer ,Left-Back,1997-06-05,"1,77m",left,"Jul 1, 2022","Jun 30, 2024",0.3,FC Stade-Lausanne-Ouchy,5499,26,2023_2024
Michael Heule,Left-Back,2001-04-27,"1,72m",right,"Jul 14, 2023","Jun 15, 2025",0.3,FC Stade-Lausanne-Ouchy,5499,22,2023_2024
Marc Fred Tsoungui,Left-Back,2002-07-30,"1,82m",left,"Jul 1, 2022","Jun 30, 2025",0.2,FC Stade-Lausanne-Ouchy,5499,21,2023_2024
Ibrahim Diakité ,Right-Back,2003-10-31,"1,80m",right,"Feb 15, 2024","Jun 30, 2024",0.9,FC Stade-Lausanne-Ouchy,5499,20,2023_2024
Mohamed Abdallah,Right-Back,1999-04-11,"1,67m",right,"Jul 3, 2021","Jun 30, 2024",0.4,FC Stade-Lausanne-Ouchy,5499,24,2023_2024
Lamine Gassama,Right-Back,1989-10-20,"1,80m",right,"Jul 12, 2022","Jun 30, 2024",0.1,FC Stade-Lausanne-Ouchy,5499,34,2023_2024
Giovani Bamba,Defensive Midfield,1999-07-02,"1,92m",right,"Aug 25, 2020","Jun 30, 2024",0.4,FC Stade-Lausanne-Ouchy,5499,24,2023_2024
Valon Hamdiu,Defensive Midfield,1998-06-10,"1,87m",right,"Jul 1, 2023","Jun 15, 2025",0.3,FC Stade-Lausanne-Ouchy,5499,25,2023_2024
Romain Bayard,Defensive Midfield,1993-10-15,"1,67m",right,"Jul 27, 2021","Jun 30, 2025",0.2,FC Stade-Lausanne-Ouchy,5499,30,2023_2024
Edmond Akichi,Defensive Midfield,1990-04-24,"1,78m",right,"Jul 14, 2022","Jun 30, 2024",0.2,FC Stade-Lausanne-Ouchy,5499,33,2023_2024
Mischa Eberhard,Central Midfield,2002-04-11,"1,73m",right,"Jul 1, 2023","Jun 15, 2025",0.3,FC Stade-Lausanne-Ouchy,5499,21,2023_2024
Elies Mahmoud,Right Midfield,2001-02-10,"1,71m",right,"Jul 11, 2023","Jun 30, 2025",0.8,FC Stade-Lausanne-Ouchy,5499,23,2023_2024
Ismaël Gharbi,Attacking Midfield,2004-04-10,"1,73m",right,"Sep 1, 2023","Jun 30, 2024",7.5,FC Stade-Lausanne-Ouchy,5499,19,2023_2024
Mergim Qarri,Attacking Midfield,1995-06-10,"1,79m",right,"Aug 6, 2020","Jun 15, 2025",0.3,FC Stade-Lausanne-Ouchy,5499,28,2023_2024
Liridon Mulaj,Attacking Midfield,1999-01-04,"1,75m",right,"Aug 19, 2022","Jun 30, 2024",0.3,FC Stade-Lausanne-Ouchy,5499,25,2023_2024
Alban Ajdini,Right Winger,1999-07-09,"1,80m",right,"Jul 1, 2021","Jun 15, 2025",1.5,FC Stade-Lausanne-Ouchy,5499,24,2023_2024
Vitalie Damaşcan,Centre-Forward,1999-01-24,"1,80m",right,"Jan 15, 2024","Jun 30, 2024",0.5,FC Stade-Lausanne-Ouchy,5499,25,2023_2024
Gabriel Kyeremateng,Centre-Forward,1999-04-28,"1,83m",right,"Jan 5, 2024","Jun 30, 2024",0.4,FC Stade-Lausanne-Ouchy,5499,24,2023_2024
Charles Abi,Centre-Forward,2000-04-12,"1,86m",left,"Feb 6, 2023",-,0.3,FC Stade-Lausanne-Ouchy,5499,23,2023_2024
Nathan Garcia ,Centre-Forward,1999-11-22,"1,76m",left,"Jul 1, 2022","Jun 30, 2024",0.3,FC Stade-Lausanne-Ouchy,5499,24,2023_2024
Marvin Keller,Goalkeeper,2002-07-03,"1,89m",right,"Sep 13, 2023","Jun 30, 2024",1.5,FC Winterthur,242,21,2023_2024
Markus Kuster,Goalkeeper,1994-02-22,"1,95m",right,"Jan 1, 2023","Jun 30, 2025",0.4,FC Winterthur,242,30,2023_2024
Armin Abaz,Goalkeeper,2002-03-27,"1,87m",right,"Jul 1, 2022","Jun 30, 2024",0.1,FC Winterthur,242,22,2023_2024
Basil Stillhart,Centre-Back,1994-03-24,"1,77m",right,"Jul 1, 2023","Jun 30, 2026",0.5,FC Winterthur,242,30,2023_2024
Remo Arnold,Centre-Back,1997-01-17,"1,90m",right,"Jan 1, 2020","Jun 30, 2026",0.4,FC Winterthur,242,27,2023_2024
Yannick Schmid,Centre-Back,1995-05-11,"1,84m",right,"Jul 27, 2022","Jun 30, 2026",0.3,FC Winterthur,242,28,2023_2024
Loïc Lüthi,Centre-Back,2003-09-30,"1,87m",right,"Jul 1, 2023","Jun 30, 2025",0.1,FC Winterthur,242,20,2023_2024
Granit Lekaj ,Centre-Back,1990-02-23,"1,86m",right,"Jul 1, 2018","Jun 30, 2025",0.1,FC Winterthur,242,34,2023_2024
Souleymane Diaby,Left-Back,1999-10-08,"1,73m",left,"Jul 3, 2021","Jun 30, 2025",0.8,FC Winterthur,242,24,2023_2024
Tobias Schättin ,Left-Back,1997-06-05,"1,85m",left,"Jul 1, 2021","Jun 30, 2025",0.3,FC Winterthur,242,26,2023_2024
Adrian Gantenbein,Right-Back,2001-04-18,"1,83m",right,"Aug 14, 2020","Jun 30, 2025",0.8,FC Winterthur,242,22,2023_2024
Silvan Sidler,Right-Back,1998-07-07,"1,85m",right,"Jul 1, 2023","Jun 30, 2025",0.4,FC Winterthur,242,25,2023_2024
Michael Gonçalves,Right-Back,1995-03-10,"1,74m",right,"Aug 26, 2020","Jun 30, 2024",0.2,FC Winterthur,242,29,2023_2024
Adrian Durrer,Defensive Midfield,2001-07-13,"1,88m",right,"Feb 14, 2024","Jun 30, 2024",0.2,FC Winterthur,242,22,2023_2024
Thibault Corbaz,Defensive Midfield,1994-01-07,"1,80m",right,"Jul 9, 2021","Jun 30, 2024",0.1,FC Winterthur,242,30,2023_2024
Alexandre Jankewitz ,Central Midfield,2001-12-25,"1,85m",right,"Jul 1, 2023","Jun 30, 2024",1.0,FC Winterthur,242,22,2023_2024
Musa Araz ,Central Midfield,1994-01-17,"1,73m",left,"Jul 17, 2023","Jun 30, 2025",0.3,FC Winterthur,242,30,2023_2024
Luca Zuffi ,Central Midfield,1990-03-27,"1,82m",left,"Jul 1, 2023","Jun 30, 2025",0.1,FC Winterthur,242,34,2023_2024
Carmine Chiappetta,Left Midfield,2003-03-09,"1,75m",right,"Jul 1, 2023",-,0.2,FC Winterthur,242,21,2023_2024
Matteo Di Giusto,Attacking Midfield,2000-08-18,"1,68m",right,"Jul 1, 2022","Jun 30, 2026",1.5,FC Winterthur,242,23,2023_2024
Randy Schneider,Attacking Midfield,2001-08-27,"1,70m",right,"Jul 1, 2023","Jun 30, 2026",0.8,FC Winterthur,242,22,2023_2024
Francisco Rodríguez ,Attacking Midfield,1995-09-14,"1,77m",right,"Jul 1, 2022","Jun 30, 2024",0.1,FC Winterthur,242,28,2023_2024
Sayfallah Ltaief,Left Winger,2000-04-22,"1,78m",right,"Jan 1, 2023","Jun 30, 2024",1.5,FC Winterthur,242,23,2023_2024
Boubacar Fofana,Left Winger,1998-09-07,"1,82m",left,"Jan 7, 2024","Jun 30, 2026",0.8,FC Winterthur,242,25,2023_2024
Nishan Burkart,Left Winger,2000-01-31,"1,74m",right,"Jul 1, 2023","Jun 30, 2026",0.8,FC Winterthur,242,24,2023_2024
Antoine Baroan,Centre-Forward,2000-06-24,"1,88m",left,"Feb 2, 2024","Jun 30, 2027",1.6,FC Winterthur,242,23,2023_2024
Aldin Turkes,Centre-Forward,1996-04-22,"1,93m",left,"Jul 1, 2023","Jun 30, 2025",0.4,FC Winterthur,242,27,2023_2024
Roman Buess ,Centre-Forward,1992-09-21,"1,83m",left,"Jul 1, 2019","Jun 30, 2024",0.1,FC Winterthur,242,31,2023_2024
